st_No	s_No	p_No	st_Count
1663	3	167	0
1664	4	167	68
1665	5	167	49
1666	6	167	1
1667	7	167	0
1668	8	167	54
1669	9	167	47
1670	10	167	54
1671	1	168	21
1672	2	168	0
1673	3	168	62
1674	4	168	0
1675	5	168	82
1676	6	168	0
1677	7	168	54
1678	8	168	69
1679	9	168	0
1680	10	168	96
1681	1	169	26
1682	2	169	0
1683	3	169	41
1684	4	169	89
1685	5	169	28
1686	6	169	58
1687	7	169	9
1688	8	169	59
1689	9	169	0
1690	10	169	81
1691	1	170	13
1692	2	170	0
1693	3	170	47
1694	4	170	12
1695	5	170	28
1696	6	170	67
1697	7	170	0
1698	8	170	51
1699	9	170	78
1700	10	170	32
1701	1	171	49
1702	2	171	2
1703	3	171	37
1704	4	171	46
1705	5	171	58
1706	6	171	46
1707	7	171	0
1708	8	171	69
1709	9	171	77
1710	10	171	22
1711	1	172	0
1712	2	172	0
1713	3	172	0
1714	4	172	32
1715	5	172	47
1716	6	172	0
1717	7	172	63
1718	8	172	0
1719	9	172	0
1720	10	172	16
1721	1	173	62
1722	2	173	86
1723	3	173	13
1724	4	173	14
1725	5	173	0
1726	6	173	27
1727	7	173	0
1728	8	173	89
1729	9	173	6
1730	10	173	32
1731	1	174	0
1732	2	174	37
1733	3	174	41
1734	4	174	0
1735	5	174	0
1736	6	174	0
1737	7	174	0
1738	8	174	96
1739	9	174	57
1740	10	174	48
1741	1	175	49
1742	2	175	24
1743	3	175	0
1744	4	175	97
1745	5	175	7
1746	6	175	36
1747	7	175	0
1748	8	175	49
1749	9	175	39
1750	10	175	21
1751	1	176	78
1752	2	176	49
1753	3	176	33
1754	4	176	88
1755	5	176	43
1756	6	176	86
1757	7	176	7
1758	8	176	21
1759	9	176	89
1760	10	176	32
1761	1	177	9
1762	2	177	0
1763	3	177	3
1764	4	177	6
1765	5	177	97
1766	6	177	0
1767	7	177	28
1768	8	177	21
1769	9	177	34
1770	10	177	76
1771	1	178	72
1772	2	178	67
1773	3	178	71
1774	4	178	38
1775	5	178	52
1776	6	178	86
1777	7	178	36
1778	8	178	73
1779	9	178	69
1780	10	178	0
1781	1	179	54
1782	2	179	12
1783	3	179	78
1784	4	179	54
1785	5	179	53
1786	6	179	86
1787	7	179	28
1788	8	179	31
1789	9	179	0
1790	10	179	74
1791	1	180	32
1792	2	180	0
1793	3	180	6
1794	4	180	93
1795	5	180	11
1796	6	180	57
1797	7	180	44
1798	8	180	0
1799	9	180	12
1800	10	180	2
