문제번호	보기1	보기2	보기3	보기4
82	상태 표시줄에서 워크시트의 보기 상태를 기본 보기, 페이지 레이아웃 보기, 페이지 나누기 미리 보기 중 선택하여 변경할 수 있다. 	상태 표시줄에는 확대/축소 슬라이더가 기본적으로 표시된다. 	상태 표시줄의 바로 가기 메뉴를 이용하여 셀의 특정 범위에 대한 이름을 정의할 수 있다. 	상태 표시줄은 현재의 작업 상태에 대한 기본적인 정보가 표시되는 곳이다. 
83	차트와 연결된 워크시트의 데이터에 열을 추가하면 차트에 자동적으로 반영되지 않는다. 	차트 크기를 조정하면 새로운 크기에 가장 적합하도록 차트 내의 텍스트의 크기 등이 자동적으로 조정된다. 	차트에 적용된 원본 데이터의 행이나 열을 숨겨도 차트에는 반영되지 않는다. 	데이터 계열의 순서가 변경되면 범례의 순서도 자동으로 변경된다. 
84	차트만 제외하고 인쇄하기 위해서는 [차트 영역 서식] 대화상자에서 '개체 인쇄'의 체크를 해제한다. 	시트에 표시된 오류 값을 제외하고 인쇄하기 위해서는 [페이지 설정] 대화 상자에서 '셀 오류 표시'를 '<공백>'으로 선택한다. 	인쇄 내용을 페이지의 가운데에 맞춰 인쇄하려면 [페이지 설정] 대화 상자에서 '문서에 맞게 배율 조정'을 체크한다. 	인쇄되는 모든 페이지에 특정 행을 반복하려면 [페이지설정] 대화 상자에서 '인쇄 제목'의 '반복할 행'에 열 레이블이 포함된 행의 참조를 입력한다. 
85	도메인(Domain)은 하나의 애트리뷰트(Attribute)가 취할 수 있는 같은 타입의 원자값들의 집합이다. 	한 릴레이션(Relation)에 포함된 튜플(Tuple)들은 모두 상이하며, 튜플(Tuple) 사이에는 순서가 있다. 	튜플(Tuple)의 수를 카디널리티(Cardinality), 애트리뷰트(Attribute)의 수를 디그리(Degree)라고 한다. 	애트리뷰트(Attribute)는 데이터베이스를 구성하는 가장 작은 논리적 단위이며, 파일 구조상의 데이터 필드에 해당된다. 
86	9: 소문자로 변환 	>: 숫자나 공백을 입력받도록 설정 	<: 영문 대문자로 변환하여 입력받도록 설정 	L: 영문자와 한글만 입력받도록 설정 
87	자동화 	정규화 	순서화 	추상화 
88	관계를 구성하는 어느 한쪽의 테이블 또는 필드 및 쿼리를 변경할 수 있다. 	조인 유형을 내부 조인, 왼쪽 우선 외부 조인, 오른쪽 우선 외부 조인 중에서 선택할 수 있다. 	'항상 참조 무결성 유지'를 선택한 경우 '관련 필드 모두 업데이트'와 '관련 레코드 모두 삭제' 옵션을 선택할 수 있다. 	관계의 종류를 일대다, 다대다, 일대일 중에서 선택할 수 있다. 
89	인덱스를 설정하면 레코드의 검색과 정렬 속도가 빨라진다. 	인덱스를 설정하면 레코드의 추가, 수정, 삭제 속도는 느려진다. 	데이터 형식이 OLE 개체인 필드에는 인덱스를 설정할 수 없다. 	인덱스는 한 개의 필드에만 설정 가능하므로 주로 기본 키에 설정한다. 
90	폼 필터를 적용하여 조건에 맞는 레코드만 표시할 수있다. 	필드의 '설명'에 입력한 내용은 테이블 구조에 영향을 미치지 않고, 상태 표시줄에 표시된다. 	컨트롤 표시 속성은 텍스트 상자, 목록 상자, 콤보 상자 중 선택할 수 있다. 	한 개 이상의 필드를 선택하여 기본 키로 설정할 수있다.
91	'상태 표시줄 텍스트' 속성은 컨트롤을 선택했을 때 상태 표시줄에 표시할 메시지를 설정한다. 	'컨트롤 원본' 속성에서 함수나 수식 사용 시 문자는 작은 따옴표('), 필드명이나 컨트롤 이름은 큰따옴표(“)를 사용하여 구분한다. 	'사용 가능' 속성은 컨트롤에 포커스를 이동시킬 수 있는지의 여부를 설정한다. 	'중복 내용 숨기기' 속성은 데이터가 이전 레코드와 같을 때 컨트롤의 숨김 여부를 설정한다. 
92	업무 문서 양식 보고서	우편 엽서 보고서 	레이블 보고서	크로스탭 보고서 
93	첫 페이지에만 페이지 번호가 표시되거나 표시되지 않도록 설정할 수 있다. 	페이지 번호의 표시 위치를 '페이지 위쪽', '페이지 아래쪽', '페이지 양쪽' 중 선택할 수 있다. 	페이지 번호의 형식을 'N 페이지'와 'N/M 페이지' 중 선택할 수 있다. 	[페이지 번호] 대화 상자를 열 때마다 페이지 번호 표시를 위한 수식이 입력된 텍스트 상자가 자동으로 삽입된다. 
94	[폼 디자인 도구]의 [디자인] 탭에서 [컨트롤 마법사 사용] 여부를 선택할 수 있다. 	[레이블] 컨트롤은 마법사를 이용한 만들기가 제공되지 않으며, 레이블 컨트롤을 추가한 후 내용을 입력하지 않으면 추가된 레이블 컨트롤이 자동으로 사라진다. 	[텍스트 상자] 컨트롤을 지칭하는 이름은 중복 설정이 가능하다. 	[단추] 컨트롤은 명령 단추 마법사를 이용하여 다양한 매크로 함수를 제공한다. 
95	폼이 열려 있는 경우 다른 화면을 선택할 수 있다. 	VBA 코드를 이용하여 대화 상자의 모달 속성을 지정할 수 있다. 	폼이 모달 대화 상자이면 디자인 보기로 전환 후 데이터시트 보기로 전환이 가능하다. 	사용자 지정 대화 상자의 작성이 가능하다. 
96	보고서에 포함할 필드가 모두 한 테이블에 있는 경우 해당 테이블을 레코드 원본으로 사용한다. 	둘 이상의 테이블을 이용하여 보고서를 작성하는 경우 쿼리를 만들어 레코드 원본으로 사용한다. 	'보고서' 도구를 사용하면 정보를 입력하지 않아도 바로 보고서가 생성되므로 매우 쉽고 빠르게 보고서를 만들 수 있다. 	'보고서 마법사'를 이용하는 경우 필드 선택은 여러개의 테이블 또는 하나의 쿼리에서만 가능하며, 데이터 그룹화 및 정렬 방법을 지정할 수도 있다. 
97	분할 표시 폼은 [만들기] 탭의 [폼] 그룹에서 [기타 폼] - [폼 분할]을 클릭하여 만들 수 있다. 	분할 표시 폼은 데이터시트 보기와 폼 보기를 동시에 표시하기 기능이며, 이 두 보기는 같은 데이터 원본에 연결되어 있어 항상 상호 동기화된다. 	분할 표시 폼을 만든 후에는 컨트롤의 크기 조정은 할수 없으나, 새로운 필드의 추가는 가능하다. 	폼 속성 창의 '분할 표시 폼 방향' 항목을 이용하여 폼의 위쪽, 아래쪽, 왼쪽, 오른쪽 등 데이터시트가 표시되는 위치를 설정할 수 있다. 
98	FindRecord 함수는 필드, 컨트롤, 속성 등의 값을 설정한다. 	ApplyFilter 함수는 테이블이나 쿼리로부터 레코드를 필터링한다. 	OpenReport 함수는 작성된 보고서를 호출하여 실행한다. 	MessageBox 함수는 메시지 상자를 통해 경고나 알림 등의 정보를 표시한다. 
99	기본 폼과 하위 폼을 연결할 필드의 데이터 형식은 같거나 호환되어야 한다. 	본 폼 내에 삽입된 다른 폼을 하위 폼이라 한다. 	일대다 관계가 설정되어 있는 테이블들을 효과적으로 표시하기 위해 사용된다. 	'폼 분할' 도구를 이용하여 폼을 생성하면 하위 폼 컨트롤이 자동으로 삽입된다. 
100	손실압축기법과 무손실압축기법이 있지만 특허문제나 압축률 등의 이유로 무손실압축 방식은 잘 쓰이지 않는다.	JPEG 표준을 사용하는 파일 형식에는 jpg, jpeg, jpe 등의 확장자를 사용한다.	파일 크기가 작아 웹 상에서 사진 같은 이미지를 보관하고 전송하는데 사용한다.	문자, 선, 세밀한 격자 등 고주파 성분이 많은 이미지의 변환에서는 GIF나 PNG에 비해 품질이 매우 우수하다.
101	최신 버전의 백신 프로그램을 사용한다.	다운로드 받은 파일은 작업에 사용하기 전에 바이러스 검사 후 사용한다.	전자우편에 첨부된 파일은 다른 이름으로 저장하고 사용한다.	네트워크 공유 폴더에 있는 파일은 읽기 전용으로 지정한다.
102	네트워크를 구성할 때 여러 대의 컴퓨터를 연결하여 각 회선을 통합 관리하는 장비이다.	네트워크 상에서 가장 최적의 IP 경로를 설정하여 전송하는 장비이다.	다른 네트워크와 데이터를 보내고 받기 위한 출입구 역할을 하는 장비이다.	인터넷 도메인 네임을 숫자로 된 IP 주소로 바꾸어 주는 장비이다.
103	IP 주소	서브넷 마스크	어댑터 주소	DNS 서버 주소
104	<Ctrl> + <Esc> : 시작 메뉴를 표시	<Shift> + <F10> : 선택한 항목의 바로가기 메뉴 표시	<Alt> + <Enter> : 선택한 항목 실행	<Windows 로고 키> + <E> : 탐색기 실행
105	단방향 통신	반이중 통신	전이중 통신	양방향 통신
106	패치 버전	알파 버전	트라이얼 버전	프리웨어
107	XML	VRML	HTML5	JSP
108	폴더를 마우스로 선택한 후 동일한 드라이브의 다른 폴더로 끌어서 놓으면 이동이 된다.	USB에 저장되어 있는 파일을 마우스로 선택한 후 바탕화면으로 끌어서 놓으면 복사가 된다.	파일을 마우스로 선택한 후 <Ctrl> 키를 누른 채 같은 드라이브의 다른 폴더로 끌어서 놓으면 복사가 된다.	폴더를 마우스로 선택한 후 <Alt> 키를 누른 채 같은 드라이브의 다른 폴더로 끌어서 놓으면 이동이 된다.
109	파일이나 폴더의 저장된 위치에 상관없이 종류별로 파일을 구성하고 액세스할 수 있게 한다.	모든 창을 최소화할 필요 없이 바탕 화면을 빠르게 미리 보거나 작업 표시줄의 해당 아이콘을 가리켜서 열린 창을 미리 볼 수 있게 한다.	바탕 화면의 배경으로 여러 장의 사진을 선택하여 슬라이드 쇼 효과를 주면서 번갈아 표시할 수 있게 한다.	작업 표시줄에서 프로그램 아이콘을 마우스 오른쪽 단추로 클릭하여 최근에 열린 파일 목록을 확인할 수있게 한다.
110	데이터의 전달을 가로막아 수신자측으로 정보가 전달되는 것을 방해하는 행위	전송되는 데이터를 전송 도중에 도청 및 몰래 보는 행위	전송된 원래의 데이터를 다른 내용으로 수정하여 변조하는 행위	다른 송신자로부터 데이터가 송신된 것처럼 꾸미는 행위
111	다중 디스플레이를 설정하여 두 대의 모니터에 화면을 확장하여 표시할 수 있다.	돋보기를 사용하여 화면에서 원하는 영역을 확대하여 크게 표시할 수 있다.	내레이터를 사용하여 화면의 모든 텍스트를 소리내어 읽어 주도록 설정할 수 있다.	키보드가 없어도 입력 가능한 화상 키보드를 표시할 수 있다.
112	바탕 화면에 있는 파일을 [휴지통]으로 드래그 앤 드롭 하여 삭제한 경우	USB 메모리에 저장되어 있는 파일을 <Delete> 키로 삭제한 경우	네트워크 드라이브의 파일을 바로 가기 메뉴의 [삭제]를 클릭하여 삭제한 경우	[휴지통 속성]에서 최대 크기를 0 MB로 설정한 후 [내 문서] 폴더 안의 파일을 삭제한 경우
113	DVI	HDMI	USB	IEEE-1394
114	보조기억장치의 일부를 주기억장치처럼 사용하는 메모리이다.	기억된 정보의 내용 일부를 이용하여 주기억장치에 접근하는 장치이다.	EEPROM의 일종으로 비휘발성 메모리이다.	중앙처리장치(CPU)와 주기억장치 사이에 위치하여 컴퓨터 처리 속도를 향상시키는 메모리이다.
115	회전하는 드럼에 토너를 묻혀서 인쇄하는 방식이다.	비충격식이라 비교적 인쇄 소음이 적고 인쇄 속도가 빠르다.	인쇄 방식에는 드럼식, 체인식, 밴드식 등이 있다.	인쇄 해상도가 높으며 복사기와 같은 원리를 사용한다.
116	웨어러블 컴퓨터	마이크로 컴퓨터	인공지능 컴퓨터	서버 컴퓨터
117	TCP	HTTP	FTP	SMTP
118	새 워크시트의 모든 셀은 기본적으로 '잠금' 속성이 설정되어 있다.	워크시트에 있는 셀을 보호하기 위해서는 먼저 셀의 '잠금' 속성을 해제해야 한다.	시트 보호를 설정하면 셀에 데이터를 입력하거나 수정 하려고 했을 때 경고 메시지가 나타난다.	셀의 '잠금' 속성과 '숨김' 속성은 시트를 보호하기 전까지는 아무런 효과를 내지 못한다.
119	01:02AM	 1/4	'1234	1월30일
120	'메모'는 셀에 설정된 메모의 인쇄 여부를 설정하는 것으로 '없음'과 '시트에 표시된 대로' 중 하나를 선택하여 인쇄할 수 있다.	워크시트의 셀 구분선을 그대로 인쇄하려면 '눈금선'에 체크하여 표시하면 된다.	'간단하게 인쇄'를 체크하면 설정된 글꼴색은 모두 검정으로, 도형은 테두리 색만 인쇄하여 인쇄 속도를 높인다.	'인쇄 영역'에 범위를 지정하면 특정 부분만 인쇄할 수 있으며, 지정한 범위에 숨겨진 행이나 열도 함께 인쇄된다.
121	막대에 채워질 그림은 저장된 파일, 클립보드에 복사되어 있는 파일, 클립 아트에서 선택할 수 있다.	늘이기는 값에 비례하여 그림의 너비와 높이가 증가한다.	쌓기는 원본 그림의 크기에 따라 단위/그림이 달라진다.	'다음 배율에 맞게 쌓기'는 계열 간의 원본 그림 크기가 달라도 단위/그림 같게 설정하면 같은 크기로 표시된다.
122	매크로 생성 시 설정한 바로 가기 키는 [매크로] 대화 상자의 [옵션]에서 변경할 수 있다.	기본적으로 바로 가기 키는 <Ctrl> 키와 조합하여 사용하지만 대문자로 지정하면 <Shift> 키가 자동으로 덧붙는다.	바로 가기 키의 조합 문자는 영문자만 가능하고, 바로가기 키를 설정하지 않아도 매크로를 생성할 수 있다.	엑셀에서 기본적으로 지정되어 있는 바로 가기 키는 매크로의 바로 가기 키로 지정할 수 없다.
123	[페이지 나누기 미리 보기]에서 행 높이와 열 너비를 변경하면 '자동 페이지 나누기'의 위치도 변경된다.	[페이지 나누기 미리 보기]에서 수동으로 삽입된 페이지 나누기는 점선으로 표시된다.	수동으로 삽입한 페이지 나누기를 제거하려면 페이지 나누기 선 아래 셀의 바로 가기 메뉴에서 [페이지 나누기 제거]를 선택한다.	용지 크기, 여백 설정, 배율 옵션 등에 따라 자동 페이지 나누기가 삽입된다.
124	다양한 사무정보 기기를 능숙히 다루기 위하여 많은 노력을 기울인다.	바쁜 업무시간 틈틈이 인터넷 강의를 들으며 외국어 공부를 한다.	평소 조직 구성원들과 호의적인 관계를 유지하기 위해 노력한다.	상사의 직접적인 지시가 없어도 비서의 권한 내에서 스스로 업무를 찾아 수행한다.
125	A: A씨는 국제기구의 사무총장 비서이다. 다음달에 상사가 국제회의에 참석하셔야 하므로 이에 대비해 해당 국가에 가서 연수를 받고자 급하게 한 달간의 단기 연수 교육신청을 하였다.	B: B씨는 종합병원 원장 비서이다. 병원 조직의 효율적인 관리와 의사결정을 위해 의료 서비스 관련법과 행정매뉴얼을 숙지하려고 노력하고 있다.	C: C씨는 대형로펌의 법률 비서이다. 법률상담 업무를 능숙하게 하기위해 법률관련 문서와 판례를 평소에 꾸준하게 읽고 있다.	D: D씨는 벤처기업 사장 비서이다. 상사의 투자자를 찾아 내고 섭외하는 업무를 보좌하기 위해 투자관련 용어를 학습하고 있다.
126	“안녕하세요, 이사님. 저는 상공물산 김영호 사장 비서 이인희입니다. 비 오는데 오늘 출근하시는데 어려움은 없으셨는지요? 다름이 아니고 사장님께서 이사님과 다음 주 약속을 위해 편하신 시간을 여쭈어보라고 하셔서 전화드렸습니다.”	“안녕하세요, 상무님. 다음 주 부사장님과 회의가 있는데요, 부사장님은 목요일 점심, 금요일 점심에 시간이 나십니다. 부사장님은 목요일에 관련 회의를 하고 나서 상무님을 뵙는게 낫다고 금요일이 더 좋다고 하십니다. 언제가 편하신가요?”	“전무님, 그럼 회의시간이 금요일 12시로 확정되었다고 사장님께 말씀드리겠습니다. 장소도 확정되면 알려 주십시오.”	“상무님, 사장님께서 급한 일정으로 회의를 취소하게 되었습니다. 제가 사장님을 대신해서 사과드립니다.”
127	“이번 회의는 정족수 부족으로 회의가 성원 되지 못했습니다.”	“김영희 부장이 동의(動議)를 해 주셔서 이번 발의를 채택하도록 하겠습니다.”	“동의를 얻은 의안에 대해 개의해 주실 분 있으신가요?”	“이번 안건에 대해 표결(表決)을 어떤 식으로 할까요?”
128	김비서는 상사의 회사 도착시각을 예측하기 위해 기사에게 사전에 오찬장소에서 출발할 때 연락을 하도록 부탁한다.	김비서는 서준희 회장의 내방객 카드를 찾아 평소 즐기는 차의 종류를 미리 확인하여 준비한다.	김비서는 상사와 서준희 회장이 회의실에 도착하기 전에 회의에 동석하기로 되어 있는 홍보 담당 전무에게 연락하여 회의실에 미리 와 있도록 한다.	회의자료는 회의 참석자에게 며칠 전에 이메일로 전송하였으므로 참석자에게 상사와 서준희 회장이 회의실에 도착하기 직전에 자료 확인 문자를 넣도록 한다.
129	감사하지만 다른 일정으로 참석이 어려움을 밝힌다. 이후 상사에게는 관련 사실을 보고한다.	상사 지인에게 단호하게 거절하며 불쾌함을 분명히 표현한다.	사내 여사원 온라인 게시판에 익명으로 관련 내용을 문의한다.	평소에 잘 알고 지내온 터라 편한 마음으로 식사를 함께 하며 상사에게는 특별히 언급하지 않는다.
130	해외 항공권 예약 시에는 e-티켓으로 예약 확인하고 한 번 더 예약확인서를 문자로 요청하였다.	성수기로 항공권 예약이 어려울 것을 예측하여 우선 비서의 이름과 여권번호로 항공권 예약을 해서 좌석을 확보해 둔다.	상사가 선호하는 항공편의 좌석이 없을 때는 일단 다른 비행기를 예약하고, 상사가 원하는 항공편의 좌석이 나왔는지 수시로 확인한다.	상사가 동행인이나 관계자가 있는 경우, 상대방의 형편도 고려하여 출발시간을 잡아 예약한다.
131	출장 중 상사 업무 대행자가 처리할 업무와 출장지의 상사에게 연락해야 할 업무 등을 구분하여 상사로부터 미리 지시를 받는다.	상사와 일정한 시간을 정해 놓고 전화 통화를 하거나 email, SNS 등을 이용하면 편리하게 업무보고와 지시를 받을 수 있다.	비서는 상사 출장 중에 그동안 밀렸던 업무를 처리한다.	상사 업무 대행자 지정은 상사가 출발한 후 조직의 규정에 따라 지정하면 된다.
132	단상에 좌석을 마련할 경우는 행사에 참석한 최상위자를 중심으로 단 아래를 향하여 우좌의 순으로 교차 배치한다.	단하에 좌석을 마련할 경우는 분야별로 좌석 군을 정하는 것이 무난하여, 당해 행사의 관련성을 고려하여 단상을 중심으로 가까운 위치부터 배치한다.	단하에 좌석을 마련할 경우 분야별로 양분하는 경우에는 단상에서 단하를 바라보아 연대를 중심으로 왼쪽은 외부 초청 인사를, 그 오른쪽은 행사 주관 기관 인사로 구분하여 배치한다.	주관 기관의 소속 직원은 뒤에, 초청 인사는 앞으로 한다. 행사 진행과 직접 관련이 있는 참석자는 단상에 근접하여 배치한다.
133	단자(單子): 부조나 선물 따위의 내용을 적은 종이	장지(葬地): 장사하여 시신을 묻는 장소	빈소(殯所): 상여가 나갈 때까지 관을 놓아두는 방	발인(發人): 상여가 떠나는 절차
134	business suit: 남성정장으로 색, 무늬, 스타일 등의 제한을 받는다.	lounge suit: 남성 정장으로 조끼와 자켓을 갖추어 입는다.	black tie: 예복으로 남성의 경우 검은 나비 타이를 착용한다.	smart casual: 티셔츠에 면바지가 허용되는 편안한 복장이다.
135	위기에 처했을 때 보고하는 것도 중요하지만 평소에 중간보고를 충실히 하여 예측되는 문제를 미연에 방지한다.	업무 진행 상황을 자주 보고하여 상사가 일이 어느 정도 속도로, 또 어떤 분위기로 진행되고 있는지 알 수 있도록 한다.	업무의 절차적 당위성을 확보하기 위해 조직 내 공식적인 채널을 통해서만 보고한다.	업무 중간 중간에 상사의 의견을 물어 잘못되었을 경우 수정할 수 있는 시간을 갖는다.
136	보좌하고 있는 의원의 활동을 보도하기 위해 배포할 내용을 언론사의 배포 부서별로 선정을 해 두었다.	작성된 보도 자료는 보안을 위해 언론사에 직접 방문하여 제출하였다.	보도하고자 하는 내용은 최대한 상세하게 6하원칙에 의해 작성한다.	연설문, 기고문, 축사는 홍보의 내용이 아니므로 전문가의 의견까지 받을 필요가 없다.
137	지출결의서를 작성하여야 하는데, 지출결의서란 올바른 회계처리를 하기 위한 기초 자료임과 동시에 대표자나 경영진이 올바른 자금 집행을 하기 위한 중요한 서식이다.	업무용 프린터 구입이므로 일반 경비 지출 결의서에 작성한다.	매년 정기적으로 구매하는 프린터 용지, 프린터 토너 등의 구입 시에도 지출 요청일 최소 5일 이전에 결재 받아야 한다.	예산 한도 내에서 결제할 때는 결재 받을 필요가 없다.
138	외국 손님의 인적사항은 공식 프로필에서 확인하는 것이 원칙이다.	국가에 따라 문화가 다르므로 상호주의 원칙을 따른다.	의전 시 서열 기준은 직위이나 행사 관련성에 따라 서열기준이 바뀔 수 있다.	손님의 선호하는 음식이나 금기 음식을 사전에 확인하여 식당 예약을 한다.
139	지역사회: 비즈니스 환경에서 동행하며 이들의 요구를 충족시키는 것은 기업 성공의 최고 핵심 조건이다.	파트너: 기업과 파트너십을 맺고 있는 협력업체와의 신뢰확보는 기업 경쟁력의 버팀목이다.	고객: 기업이 사업장을 마련하여 이해관계를 같이 하는 곳이다.	투자자: 기업을 믿고 지지한 주주로서 기업의 고객과 가장 가까운 곳에 위치한다.
140	종업원들에게 경영참가제도와 복지후생제도를 도입 활용한다.	제3세계 커피농가에 합리적 가격을 지불하고 사들인 공정무역커피를 판매한다.	저소득층 가정의 학생들에게 아침밥을 제공한다.	제3세계 농부들에게 코코아 재배에 관한 교육을 제공하여 숙련도를 높이고 양질의 코코아를 제공받아 초콜릿을 생산한다.
141	협동조합은 출자액의 규모와 관계없이 1인 1표의 원칙을 갖고 있다.	협동조합은 영리를 목적으로 설립한 공동기업의 형태이며 조합원들에게 주식을 배당한다.	소비자협동조합은 비영리 조합원 소유의 금융협동체로서 조합원들에게 대출 서비스를 주요 사업으로 한다.	협동조합은 소수 공동기업으로 운영되며 이익이나 손실에 대해 조합장이 유한책임을 진다.
142	실사: 기업의 인수합병계약 전 대상기업의 재무, 영업, 법적현황 등을 파악하는 절차	협상: M&A 과정중 가장 중요한 단계로 계약서를 작성하는 단계	계약: 계약 체결을 위해 대상기업과의 교섭 단계	합병후 통합: 대상기업과의 인수가격, 인수형태 등 법적 절차를 협상하는 단계
143	기존 산업 내 경쟁 정도	공급자의 협상력	신규 시장 진입자의 위협	정부의 금융·재정정책
144	자금과 인력의 조달이 어렵다.	경영진의 영향력이 커서 실행이 보다 용이하다.	규모가 작아 고용 증대에 큰 기여를 하지 못한다.	환경의 변화에 보다 신속하게 대응할 수 있다.
145	조직화의 의미는 부서수준에서 부장, 과장, 대리 등으로 직무를 설계하여 업무가 배분되고 조정되도록 하는 것을 의미한다.	조직화 과정에는 일반적으로 계획된 목표달성을 위해 필요한 구체적인 활동을 확정하는 단계가 있다.	구체적인 활동이 확정되면 개개인이 수행할 수 있도록 일정한 패턴이나 구조로 집단화시키는 단계가 있다.	조직화란 과업을 수행하기 위해 구성원과 필요한 자원을 어떻게 배열할 것인가를 구상하는 과정이다.
146	유기적 조직은 환경이 급변하고 복잡한 경우 기계적 조직보다 적합하다 할 수 있다.	기계적 조직은 유기적 조직에 비해 집단화 정도와 공식화 정도가 높다.	유기적 조직은 직무내용이 유사하고 관련성이 높은 업무를 우선적으로 결합하여 업무의 전문성을 우선시하는 조직이라 할 수 있다.	라인(line)구조는 조직의 목표 달성에 직접적인 책임을 지고 있는 기능을 가지고 있다.
147	정보적 역할	대인적 역할	의사결정적 역할	협상자 역할
148	블레이크와 모튼의 관리격자이론에서 (1.9)형은 과업형 리더유형이다.	피들러는 리더십의 결정요인이 리더가 처해있는 조직 상황에 있다고 주장한다.	허쉬와 블랜차드는 부하의 성숙도가 가장 높을 때는 지시형 리더보다는 위임형 리더가 더 효과적이라고 제안한다.	번즈의 변혁적 리더십은 카리스마, 지적자극, 개별적 배려로 구성되어 있다.
149	유한회사의 사원은 의결권 등에서는 주식회사와 유사하다.	50인 이하의 유한책임사원과 무한책임사원으로 구성된다.	주식회사보다는 자본규모가 작고 출자지분의 양도도 사원총회의 승인을 받아야 한다.	소수의 사원과 소액의 자본으로 운영되는 중소기업에 적당한 기업형태이다.
150	의사결정과 관련된 문제의 복잡성, 모호성, 가변성 등으로 문제를 정확하게 파악하기 어렵다.	의사결정과 관련된 기초자료의 불확실성, 주변환경과의 불확실성, 의사결정 후의 불확실성 등으로 의사결정이 어렵다.	의사결정과정은 문제인식, 결정기준의 명시, 대안 도출, 대안평가, 대안 선정의 과정을 포함한다.	다양한 선택기준으로 대안을 비교할 때 하나의 기준이 아닌, 기업의 이익, 비용, 규모, 이미지 등 여러 요소를 고려해야 하기에 의사결정이 어렵다.
151	재무적 성과: 고객 관점	재무적 성과: 재무 관점	비재무적 성과: 외부 프로세스 관점	비재무적 성과: 학습과 성장 관점
152	디마케팅(demarketing)은 자사 제품이나 서비스에 대한 수요를 일시적 또는 영구적으로 감소시키려는 마케팅이다.	퍼미션(permission)마케팅은 같은 고객에게 관련된 기존상품 또는 신상품을 판매하는 마케팅이다.	자극(stimulation)마케팅은 제품에 대한 지식이나 관심이 없는 소비자에게 자극을 주어 욕구를 가지게 하는 마케팅이다.	바이럴(viral)마케팅은 네티즌들이 이메일이나 다른 전파매체를 통해 자발적으로 제품을 홍보하는 메시지를 퍼트리는 것을 촉진하는 마케팅이다.
153	현금통화비율	현금비율	지급준비율	본원통화
154	도착 서류함 - in-tray	연필깎이 - sharpener	소화기 - fire end	(회사명이 들어있는) 편지지 - letterhead paper
155	MOU: Merging of United	IT: Information Technology	CV: Curriculum Vitae	M&A: Merger and Acquisition
156	First, let me congratulate you the rapid growth of your operation.	I'm pleased to learn of the succession you have been.	He will be scheduled an appointment with you within a few day.	I would like to arrange an appointment with you so that we can go over any questions you might have.
157	Can we have a quick show of hands?	Let's try to keep each item to 15 minutes.	Thank you for coming and for your contributions.	I think we've covered everything on the agenda.
158	첫째 항목기호는 왼쪽 처음부터 띄어쓰기 없이 왼쪽 기본선에서 시작한다.	하위 항목부터는 상위 항목 위치에서 오른쪽으로 2타씩 옮겨 시작한다.	항목이 한줄 이상인 경우에는 항목 기호(1., 2., 3., 4., …) 위치에 맞추어 정렬한다.	항목이 하나만 있는 경우 항목기호를 부여하지 아니한다.
159	공문서 중 비치문서는 민원인이 행정 기관에 허가, 인가, 그 밖의 처분 등 특정한 행위를 요구하는 문서와 그에 대한 처리 문서를 뜻한다.	비서실에서는 거래 문서보다 초대장, 행사 안내문, 인사장, 축하장, 감사장 등과 같은 문서의 비중이 높은 편이다.	전자 문서 시스템, 사무용 소프트웨어 뿐 아니라 홈페이지 게시 등과 같이 작성되는 문서도 전자 문서에 속한다.	문서 작성 소프트웨어에 의해 작성되었다고 하더라도 인쇄되어 종이의 형태로 유통된다면 종이 문서라고 할 수 있다.
160	≪영산강≫은 사진집 <아름다운 우리나라>에 실린 작품이다.	이번 회의에는 두 명[이혜정(실장), 박철용(과장)]만 빼고 모두 참석했습니다.	내일 오전까지 보고서를 제출할 것.	“설마 네가 그럴 줄은….” 라고 경수가 탄식했다.
161	비서실에서 종이문서를 일반스캐너를 이용하여 이미지화한 문서는 종이 문서와 동일하게 법적 효력을 인정받는다.	전자문서는 특별규정이 없는 한 전자적인 형태로 되어 있다는 이유로 문서로서의 효력이 부인되지 않는다.	전자문서는 일반 문서 작성용 소프트웨어를 사용하여 작성, 저장된 파일도 해당한다.	전자적 이미지 및 영상 등 디지털 콘텐츠도 전자문서에 해당한다.
162	전자이미지서명이란 기안자·검토자·협조자·결재권자 또는 발신명의인이 전자문서상에 전자적인 이미지 형태로 된 자기의 성명을 표시하는 것을 말한다.	전자문자서명이란 기안자·검토자·협조자·결재권자 또는 발신명의인이 전자문서상에 자동 생성된 자기의 성명을 전자적인 문자 형태로 표시하는 것을 말한다.	전자문서는 업무관리시스템 또는 전자문서시스템에서 전자문자서명을 하면 시행문이 된다.	전자문서의 경우에는 수신자가 관리하거나 지정한 전자적시스템에 입력됨으로써 그 효력을 발생하는 도달주의를 원칙으로 한다.
163	프레젠테이션 슬라이드는 기본적으로 시각 자료이며 텍스트와 그림을 전달내용에 맞추어 적절하게 구성하는 활동이 중요하다.	프레젠테이션 슬라이드는 서론, 본론, 결론의 단계성보다는 도형과 그림 중심으로 시각화하는 것이 중요하다.	시각 자료의 양은 발표 분량이나 시간을 고려하여 결정되어야 하며 효과적으로 배치하여야 한다.	프레젠테이션을 구성하는 주제, 내용, 시각자료 등은 논리적 연관관계가 치밀해야 한다.
