번호	회원번호	일정번호	접수일자	시험일자	발표일자	점수	합격여부
424	18	156	2021-09-30	2021-10-07	2021-10-07	50	불합격
425	19	156	2021-09-30	2021-10-07	2021-10-07	10	불합격
426	20	156	2021-09-30	2021-10-07	2021-10-07	30	불합격
427	1	117	2021-09-18	2021-09-25	2021-09-26	30	불합격
428	2	117	2021-09-18	2021-09-25	2021-09-26	40	불합격
429	4	117	2021-09-18	2021-09-25	2021-09-26	0	불합격
430	6	117	2021-09-18	2021-09-25	2021-09-26	20	불합격
509	7	113	2021-09-13	2021-09-20	2021-09-21	0	불합격
432	10	117	2021-09-18	2021-09-25	2021-09-26	50	불합격
433	14	117	2021-09-18	2021-09-25	2021-09-26	20	불합격
434	15	120	2021-09-19	2021-09-26	2021-09-27	0	불합격
435	3	120	2021-09-19	2021-09-26	2021-09-27	40	불합격
436	28	120	2021-09-19	2021-09-26	2021-09-27	20	불합격
437	14	46	2021-07-17	2021-07-24	2021-07-25	30	불합격
438	19	120	2021-09-19	2021-09-26	2021-09-27	30	불합격
439	11	120	2021-09-19	2021-09-26	2021-09-27	30	불합격
440	8	120	2021-09-19	2021-09-26	2021-09-27	20	불합격
441	21	120	2021-09-19	2021-09-26	2021-09-27	40	불합격
442	12	121	2021-09-20	2021-09-27	2021-09-28	30	불합격
443	16	121	2021-09-20	2021-09-27	2021-09-28	10	불합격
444	27	121	2021-09-20	2021-09-27	2021-09-28	20	불합격
445	4	121	2021-09-20	2021-09-27	2021-09-28	40	불합격
446	20	121	2021-09-20	2021-09-27	2021-09-28	50	불합격
447	6	121	2021-09-20	2021-09-27	2021-09-28	20	불합격
448	8	121	2021-09-20	2021-09-27	2021-09-28	40	불합격
449	1	121	2021-09-20	2021-09-27	2021-09-28	40	불합격
450	13	122	2021-09-20	2021-09-27	2021-09-28	30	불합격
451	30	122	2021-09-20	2021-09-27	2021-09-28	30	불합격
452	10	80	2021-08-18	2021-08-25	2021-08-26	50	불합격
453	11	79	2021-08-17	2021-08-24	2021-08-25	0	불합격
454	4	122	2021-09-20	2021-09-27	2021-09-28	50	불합격
455	16	49	2021-07-19	2021-07-26	2021-07-27	0	불합격
456	14	137	2021-10-27	2021-11-03	2021-11-04	20	불합격
457	3	137	2021-10-27	2021-11-03	2021-11-04	50	불합격
458	29	137	2021-10-27	2021-11-03	2021-11-04	0	불합격
153	5	151	2021-09-27	2021-10-04	2021-10-05	70	합격
460	12	80	2021-08-18	2021-08-25	2021-08-26	0	불합격
461	8	137	2021-10-27	2021-11-03	2021-11-04	50	불합격
462	17	137	2021-10-27	2021-11-03	2021-11-04	80	합격
463	18	65	2021-08-07	2021-08-14	2021-08-15	20	불합격
464	12	150	2021-11-01	2021-11-08	2021-11-09	50	불합격
465	15	150	2021-11-01	2021-11-08	2021-11-09	0	불합격
466	28	150	2021-11-01	2021-11-08	2021-11-09	10	불합격
467	18	150	2021-11-01	2021-11-08	2021-11-09	100	합격
468	6	150	2021-11-01	2021-11-08	2021-11-09	30	불합격
469	19	122	2021-09-20	2021-09-27	2021-09-28	90	합격
470	20	49	2021-07-19	2021-07-26	2021-07-27	0	불합격
471	20	137	2021-10-27	2021-11-03	2021-11-04	50	불합격
472	21	43	2021-07-15	2021-07-22	2021-07-23	50	불합격
473	21	151	2021-09-27	2021-10-04	2021-10-05	40	불합격
474	22	49	2021-07-19	2021-07-26	2021-07-27	0	불합격
475	22	151	2021-09-27	2021-10-04	2021-10-05	80	합격
476	23	151	2021-09-27	2021-10-04	2021-10-05	70	합격
477	24	120	2021-09-19	2021-09-26	2021-09-27	10	불합격
478	24	151	2021-09-27	2021-10-04	2021-10-05	20	불합격
479	25	151	2021-09-27	2021-10-04	2021-10-05	70	합격
480	28	137	2021-10-27	2021-11-03	2021-11-04	60	합격
481	30	17	2021-06-21	2021-06-28	2021-06-29	0	불합격
482	15	137	2021-10-27	2021-11-03	2021-11-04	40	불합격
431	7	117	2021-09-18	2021-09-25	2021-09-26	30	불합격
484	20	65	2021-08-07	2021-08-14	2021-08-15	40	불합격
485	24	65	2021-08-07	2021-08-14	2021-08-15	30	불합격
486	27	66	2021-08-09	2021-08-16	2021-08-17	10	불합격
487	29	66	2021-08-09	2021-08-16	2021-08-17	40	불합격
488	21	66	2021-08-09	2021-08-16	2021-08-17	30	불합격
489	20	66	2021-08-09	2021-08-16	2021-08-17	50	불합격
490	14	74	2021-08-14	2021-08-21	2021-08-22	40	불합격
491	15	74	2021-08-14	2021-08-21	2021-08-22	10	불합격
492	20	74	2021-08-14	2021-08-21	2021-08-22	40	불합격
493	21	74	2021-08-14	2021-08-21	2021-08-22	30	불합격
494	24	74	2021-08-14	2021-08-21	2021-08-22	50	불합격
495	15	78	2021-08-16	2021-08-23	2021-08-24	20	불합격
496	18	78	2021-08-16	2021-08-23	2021-08-24	10	불합격
497	19	78	2021-08-16	2021-08-23	2021-08-24	20	불합격
498	20	78	2021-08-16	2021-08-23	2021-08-24	10	불합격
499	27	78	2021-08-16	2021-08-23	2021-08-24	50	불합격
500	29	78	2021-08-16	2021-08-23	2021-08-24	30	불합격
501	12	79	2021-08-17	2021-08-24	2021-08-25	50	불합격
502	13	79	2021-08-17	2021-08-24	2021-08-25	90	합격
503	15	79	2021-08-17	2021-08-24	2021-08-25	70	합격
504	20	79	2021-08-17	2021-08-24	2021-08-25	20	불합격
505	14	80	2021-08-18	2021-08-25	2021-08-26	20	불합격
506	16	80	2021-08-18	2021-08-25	2021-08-26	60	합격
507	20	80	2021-08-18	2021-08-25	2021-08-26	30	불합격
508	24	80	2021-08-18	2021-08-25	2021-08-26	20	불합격
513	7	121	2021-09-20	2021-09-27	2021-09-28	30	불합격
510	18	117	2021-09-18	2021-09-25	2021-09-26	0	불합격
511	22	117	2021-09-18	2021-09-25	2021-09-26	40	불합격
512	29	117	2021-09-18	2021-09-25	2021-09-26	10	불합격
515	7	122	2021-09-20	2021-09-27	2021-09-28	30	불합격
514	12	121	2021-09-20	2021-09-27	2021-09-28	50	불합격
338	7	134	2021-10-26	2021-11-02	2021-11-02	80	합격
516	12	122	2021-09-20	2021-09-27	2021-09-28	10	불합격
517	20	122	2021-09-20	2021-09-27	2021-09-28	40	불합격
518	24	122	2021-09-20	2021-09-27	2021-09-28	30	불합격
519	7	150	2021-11-01	2021-11-08	2021-11-09	90	합격
520	29	150	2021-11-01	2021-11-08	2021-11-09	40	불합격
