r_no	u_no	c_no	t_no	r_date	r_time	r_people	r_attend
556	4	V-012	16	2021-09-20	21:00	1	1
557	9	G-003	32	2021-09-21	10:00	1	1
558	19	M-023	43	2021-09-21	11:00	2	1
559	24	C-014	17	2021-09-21	12:30	1	1
560	32	V-015	2	2021-09-21	13:00	1	1
561	32	T-014	1	2021-09-21	14:00	2	1
562	2	G-014	24	2021-09-21	16:30	1	1
563	18	L-001	29	2021-09-21	16:30	3	1
564	11	C-003	20	2021-09-21	17:30	1	1
565	18	N-005	24	2021-09-21	17:30	1	1
566	8	V-012	1	2021-09-21	18:00	2	1
567	43	B-002	18	2021-09-21	19:00	2	1
568	35	T-004	4	2021-09-21	19:30	1	1
569	16	S-016	5	2021-09-21	20:00	2	1
570	2	M-007	28	2021-09-21	20:30	2	1
571	38	P-017	21	2021-09-21	21:00	1	1
572	1	C-020	30	2021-09-22	10:30	2	1
573	18	V-004	31	2021-09-22	14:30	2	1
574	6	A-004	29	2021-09-22	16:00	1	1
575	8	A-024	25	2021-09-22	16:00	1	1
576	18	M-015	25	2021-09-22	16:00	1	1
577	10	E-008	1	2021-09-22	20:00	2	1
578	3	A-023	2	2021-09-23	11:00	2	1
579	21	M-002	31	2021-09-23	13:30	3	1
580	10	M-001	8	2021-09-23	14:30	1	1
581	44	S-022	30	2021-09-23	16:30	1	1
582	40	L-010	9	2021-09-23	21:00	1	1
583	35	A-004	5	2021-09-24	13:00	1	1
584	43	V-025	6	2021-09-24	15:00	3	1
585	15	A-020	14	2021-09-24	16:00	2	1
586	15	Z-009	27	2021-09-24	16:00	1	1
587	8	V-007	18	2021-09-24	17:30	2	1
588	27	B-021	25	2021-09-24	18:00	2	1
589	25	C-018	7	2021-09-24	18:00	3	1
590	41	N-001	5	2021-09-24	18:30	1	1
591	40	T-009	14	2021-09-24	19:30	3	1
592	15	G-019	32	2021-09-25	10:00	1	1
593	35	S-023	14	2021-09-25	11:30	1	1
594	13	M-001	20	2021-09-25	13:00	4	1
595	7	V-004	34	2021-09-25	13:00	2	1
596	27	B-020	33	2021-09-25	13:30	3	1
597	1	E-001	34	2021-09-25	13:30	2	1
598	24	V-011	43	2021-09-25	16:00	2	1
599	31	P-011	37	2021-09-25	17:00	1	1
600	43	S-025	13	2021-09-25	18:30	2	1
601	42	M-001	5	2021-09-25	19:30	2	1
602	36	N-027	43	2021-09-26	12:30	1	1
603	19	P-022	44	2021-09-26	13:00	4	1
604	28	G-001	19	2021-09-26	14:00	1	1
605	41	C-008	34	2021-09-26	17:30	1	1
606	32	B-015	23	2021-09-26	18:00	2	1
607	43	B-013	42	2021-09-26	19:30	3	1
608	22	E-005	32	2021-09-26	19:30	1	1
609	39	N-012	22	2021-09-26	20:00	1	1
610	22	A-024	37	2021-09-26	20:30	1	1
611	21	G-010	31	2021-09-27	11:00	5	1
612	2	T-024	3	2021-09-27	12:00	2	1
613	36	L-002	28	2021-09-27	12:30	2	1
614	10	L-006	17	2021-09-27	15:30	1	1
615	35	N-015	5	2021-09-27	16:00	2	1
616	13	S-003	40	2021-09-27	17:00	1	1
617	24	C-013	36	2021-09-27	18:30	1	1
618	10	Z-003	10	2021-09-27	20:30	2	1
619	10	Z-019	19	2021-09-28	10:00	1	1
620	31	M-016	42	2021-09-28	11:00	3	1
621	23	P-022	8	2021-09-28	11:00	6	1
622	39	M-015	3	2021-09-28	13:30	2	1
623	3	M-008	27	2021-09-28	14:30	1	1
624	5	N-013	22	2021-09-28	15:30	1	1
625	14	T-005	42	2021-09-28	16:30	3	1
626	9	G-010	3	2021-09-28	19:00	2	1
627	28	N-023	16	2021-09-28	19:30	3	1
628	21	A-017	4	2021-09-29	10:30	1	1
629	41	B-004	42	2021-09-29	11:30	2	1
630	44	Z-020	1	2021-09-29	13:00	2	1
631	6	Z-008	17	2021-09-29	15:30	1	1
632	15	N-011	46	2021-09-29	16:00	1	1
633	37	G-002	7	2021-09-29	17:00	2	1
634	4	N-004	4	2021-09-29	17:00	1	1
635	41	N-023	42	2021-09-29	17:00	1	1
636	3	L-006	47	2021-09-29	18:30	1	1
637	5	V-024	14	2021-09-29	20:00	1	1
638	29	Z-014	44	2021-09-30	11:00	1	1
639	10	M-010	10	2021-09-30	13:30	2	1
640	26	V-009	44	2021-09-30	13:30	1	1
641	2	B-014	23	2021-09-30	15:00	3	1
642	40	N-026	25	2021-09-30	15:00	2	1
643	33	S-017	23	2021-09-30	15:00	1	1
644	7	S-021	47	2021-09-30	15:00	1	1
645	43	G-023	29	2021-09-30	16:30	3	1
646	33	A-004	27	2021-09-30	17:30	1	1
647	12	B-022	1	2021-09-30	19:00	1	1
648	38	S-020	16	2021-09-30	20:30	3	1
649	37	L-002	46	2021-10-01	10:30	1	1
650	10	P-023	18	2021-10-01	12:00	1	0
651	41	C-017	33	2021-10-01	13:00	1	1
652	44	Z-002	8	2021-10-01	13:00	4	1
653	36	C-023	27	2021-10-01	15:30	1	1
654	20	V-004	47	2021-10-01	18:30	2	1
655	15	Z-015	31	2021-10-01	18:30	1	1
656	32	C-012	14	2021-10-01	20:00	1	1
657	10	P-012	5	2021-10-01	21:00	1	1
658	15	P-017	44	2021-10-02	10:30	1	1
659	25	S-017	31	2021-10-02	10:30	2	1
660	13	Z-006	1	2021-10-02	10:30	2	1
661	30	B-019	1	2021-10-02	11:00	2	1
662	27	C-026	5	2021-10-02	14:30	2	1
663	25	V-026	48	2021-10-02	15:00	1	1
664	37	N-016	31	2021-10-02	16:00	1	1
665	30	L-012	23	2021-10-02	20:00	2	1
666	28	S-016	33	2021-10-02	20:30	2	1
667	28	B-014	38	2021-10-02	21:00	1	1
668	38	P-023	33	2021-10-03	10:30	2	1
669	40	M-025	35	2021-10-03	11:00	1	1
670	4	P-005	37	2021-10-03	11:00	1	0
671	44	C-027	14	2021-10-03	15:00	5	1
672	33	Z-024	43	2021-10-03	15:30	2	1
673	25	L-018	44	2021-10-03	16:00	6	1
674	30	L-012	7	2021-10-03	17:00	3	1
675	7	Z-021	6	2021-10-03	21:00	1	1
