번호	회원번호	음식점	음식이름	개수	구매날짜	배달료	가격 (원가)
281	A022	초서사리원	돼지갈비,제육볶음	1,1	2021-10-13	3,000	12,000
282	A033	초선과여포	볶음밥,간짜장,짜장면	1,3,2	2021-10-29	3,000	28,000
283	A026	킹콩식당	베이글	1	2021-11-03	3,000	1,500
284	A036	태평양	알밥,돈코츠 라멘,새우튀김,초밥	1,3,2,1	2021-08-21	3,000	78,000
285	A032	토마토식당	베이글,아메리카노	3,1	2021-08-06	3,000	6,500
286	A015	톰볼라	커틀렛,에이드,까르보나라	2,2,1	2021-08-29	3,000	21,500
287	A023	팝빙식당	고추튀김,떡볶이,순대,김말이,김밥	3,3,3,3,2	2021-09-28	3,000	35,600
288	A038	하루	족발	2	2021-10-21	3,000	16,000
289	A032	하루하루	서로인 스테이크,토마호크 스테이크,양송이 스프	1,3,3	2021-09-29	3,000	76,500
290	A028	학생식당	잡채	2	2021-08-19	3,000	8,000
291	A008	한라담	불고기 덮밥,족발	2,2	2021-10-20	3,000	32,000
292	A007	한식식당	김치찌개	1	2021-10-10	3,000	6,000
293	A028	해우담	모둠전,김치찜,보쌈,된장찌개	3,2,1,3	2021-10-12	3,000	41,500
294	A013	화담	차슈덮밥,낫토,새우튀김,알밥	3,1,1,1	2021-10-30	3,000	58,000
295	A035	미가미	초밥	1	2021-10-29	3,000	15,000
