pu_No	s_No	p_No	u_No	pu_Count	pu_Price	pu_Date
3040	2	133	37	20	36000	2021-09-24
3043	2	201	6	15	97500	2021-09-24
3062	2	154	22	26	26000	2021-09-25
3077	2	11	12	26	46800	2021-09-25
3089	2	288	1	11	16500	2021-09-25
3105	2	132	9	22	22000	2021-09-25
3108	2	271	7	28	67200	2021-09-25
3115	2	92	35	28	226800	2021-09-26
3117	2	256	27	14	32200	2021-09-26
3119	2	3	35	7	7000	2021-09-26
3136	2	247	2	22	26400	2021-09-26
3138	2	99	33	4	12000	2021-09-26
3156	2	249	35	10	22000	2021-09-26
3194	2	211	3	11	38500	2021-09-27
3200	2	57	8	10	11000	2021-09-27
3207	2	220	16	28	98000	2021-09-27
3209	2	205	17	15	72000	2021-09-27
3210	2	230	27	3	14400	2021-09-27
3227	2	21	13	10	15000	2021-09-28
3238	2	42	19	12	11400	2021-09-28
3251	2	80	7	9	48600	2021-09-28
3258	2	120	8	2	3000	2021-09-28
3267	2	50	30	22	55000	2021-09-28
3271	2	250	35	8	21600	2021-09-28
3282	2	146	31	13	13000	2021-09-29
3288	2	229	17	24	115200	2021-09-29
3294	2	188	14	11	22000	2021-09-29
3314	2	2	11	14	40600	2021-09-29
3321	2	98	10	21	105000	2021-09-29
3323	2	110	18	23	46000	2021-09-29
3342	2	251	36	7	10500	2021-09-30
3357	2	81	3	14	57400	2021-09-30
3363	2	287	33	15	45000	2021-09-30
3373	2	260	13	12	20400	2021-09-30
3386	2	236	16	23	96600	2021-09-30
3392	2	224	16	25	120000	2021-09-30
3407	2	40	37	26	101400	2021-10-01
3408	2	195	8	17	100300	2021-10-01
3411	2	53	3	3	6600	2021-10-01
3412	2	117	8	18	39600	2021-10-01
3441	2	261	3	2	3400	2021-10-01
3454	2	294	15	2	3000	2021-10-02
3470	2	262	28	8	13600	2021-10-02
3473	2	75	21	19	38000	2021-10-02
3476	2	145	25	2	3600	2021-10-02
3486	2	213	9	22	143000	2021-10-02
3509	2	173	27	27	67500	2021-10-03
3510	2	286	34	28	42000	2021-10-03
3524	2	266	33	7	10500	2021-10-03
3526	2	221	4	21	60900	2021-10-03
3527	2	210	23	16	76800	2021-10-03
3552	2	277	7	16	16000	2021-10-03
3562	2	2	19	13	37700	2021-10-04
3563	2	191	6	18	36000	2021-10-04
3564	2	125	40	19	220400	2021-10-04
3573	2	233	19	12	50400	2021-10-04
3595	2	262	21	12	20400	2021-10-04
3610	2	136	5	20	20000	2021-10-05
3615	2	210	38	3	14400	2021-10-05
3624	2	165	35	24	24000	2021-10-05
3644	2	22	8	7	17500	2021-10-05
3648	2	263	24	7	17500	2021-10-05
3661	2	286	28	15	22500	2021-10-05
4	3	156	17	3	7500	2021-08-01
8	3	102	17	7	21000	2021-08-01
26	3	271	31	8	19200	2021-08-01
33	3	241	19	29	52200	2021-08-01
36	3	224	37	19	91200	2021-08-01
40	3	218	8	20	64000	2021-08-01
69	3	242	19	11	19800	2021-08-02
75	3	256	24	26	59800	2021-08-02
82	3	14	27	1	1600	2021-08-02
93	3	178	23	5	9000	2021-08-02
108	3	281	33	15	45000	2021-08-02
112	3	51	12	21	52500	2021-08-03
122	3	79	40	2	10800	2021-08-03
127	3	225	5	2	15000	2021-08-03
150	3	105	22	12	150000	2021-08-03
151	3	48	27	8	15200	2021-08-03
162	3	86	31	10	159000	2021-08-03
179	3	51	25	16	40000	2021-08-04
183	3	2	17	1	2900	2021-08-04
189	3	265	23	22	88000	2021-08-04
193	3	227	5	6	32400	2021-08-04
199	3	178	24	3	5400	2021-08-04
234	3	157	16	25	30000	2021-08-05
246	3	219	7	16	104000	2021-08-05
269	3	54	38	15	43500	2021-08-05
271	3	96	39	21	44100	2021-08-05
272	3	195	3	2	11800	2021-08-05
275	3	205	10	23	110400	2021-08-05
290	3	31	8	8	16000	2021-08-06
294	3	245	30	4	4800	2021-08-06
303	3	115	14	2	9800	2021-08-06
310	3	8	9	23	69000	2021-08-06
329	3	57	22	18	19800	2021-08-06
335	3	154	39	20	20000	2021-08-07
342	3	274	7	29	43500	2021-08-07
349	3	224	21	5	24000	2021-08-07
368	3	288	17	3	4500	2021-08-07
379	3	145	22	5	9000	2021-08-07
393	3	198	37	8	31200	2021-08-08
397	3	235	23	6	25200	2021-08-08
409	3	98	3	28	140000	2021-08-08
412	3	98	22	27	135000	2021-08-08
418	3	112	18	2	14600	2021-08-08
435	3	3	17	19	19000	2021-08-08
445	3	206	33	15	63000	2021-08-09
469	3	259	19	18	34200	2021-08-09
472	3	82	31	5	20500	2021-08-09
480	3	236	9	1	4200	2021-08-09
484	3	70	38	24	84000	2021-08-09
485	3	10	17	27	51300	2021-08-09
506	3	40	32	25	97500	2021-08-10
508	3	178	14	4	7200	2021-08-10
511	3	108	21	24	189600	2021-08-10
514	3	84	24	20	82000	2021-08-10
527	3	65	34	13	36400	2021-08-10
542	3	36	18	7	10500	2021-08-10
557	3	91	29	10	81000	2021-08-11
578	3	199	31	1	1400	2021-08-11
586	3	229	22	22	105600	2021-08-11
596	3	83	40	5	20500	2021-08-11
607	3	20	30	26	46800	2021-08-11
622	3	197	7	30	195000	2021-08-12
623	3	119	2	15	22500	2021-08-12
635	3	86	21	28	445200	2021-08-12
655	3	198	29	9	35100	2021-08-12
658	3	285	11	22	33000	2021-08-12
662	3	224	30	24	115200	2021-08-12
670	3	298	33	25	37500	2021-08-13
679	3	46	8	1	1900	2021-08-13
685	3	113	13	23	35650	2021-08-13
689	3	170	10	7	12600	2021-08-13
698	3	299	40	13	13000	2021-08-13
727	3	158	32	5	6000	2021-08-14
743	3	9	2	14	35000	2021-08-14
744	3	178	18	16	28800	2021-08-14
765	3	28	2	17	22100	2021-08-14
767	3	102	38	26	78000	2021-08-14
773	3	86	40	25	397500	2021-08-14
792	3	291	10	16	24000	2021-08-15
806	3	15	20	4	4000	2021-08-15
811	3	249	21	21	46200	2021-08-15
814	3	279	16	14	14000	2021-08-15
815	3	127	3	2	3000	2021-08-15
832	3	283	18	7	21000	2021-08-16
840	3	128	32	19	28500	2021-08-16
844	3	290	11	20	30000	2021-08-16
850	3	224	19	7	33600	2021-08-16
860	3	225	37	26	195000	2021-08-16
862	3	271	28	3	7200	2021-08-16
897	3	109	30	23	181700	2021-08-17
905	3	77	9	24	105600	2021-08-17
907	3	286	38	23	34500	2021-08-17
924	3	298	7	29	43500	2021-08-17
929	3	144	14	3	3000	2021-08-17
947	3	233	4	3	12600	2021-08-18
954	3	123	26	19	85500	2021-08-18
963	3	5	40	16	32000	2021-08-18
978	3	5	30	11	22000	2021-08-18
980	3	91	4	15	121500	2021-08-18
994	3	225	19	7	52500	2021-08-18
997	3	218	23	20	64000	2021-08-19
1003	3	2	40	23	66700	2021-08-19
1013	3	218	16	23	73600	2021-08-19
1034	3	234	9	30	144000	2021-08-19
1045	3	254	10	30	45000	2021-08-19
1056	3	90	27	7	14000	2021-08-20
1068	3	92	4	17	137700	2021-08-20
1074	3	112	6	4	29200	2021-08-20
1081	3	207	13	30	144000	2021-08-20
1099	3	143	5	1	1000	2021-08-20
1115	3	181	37	11	38500	2021-08-21
1127	3	49	36	14	30800	2021-08-21
1136	3	40	17	19	74100	2021-08-21
1137	3	86	30	13	206700	2021-08-21
1151	3	90	27	15	30000	2021-08-21
1164	3	211	38	22	77000	2021-08-22
1165	3	293	14	17	17000	2021-08-22
1171	3	108	30	28	221200	2021-08-22
1174	3	53	37	28	61600	2021-08-22
1183	3	159	15	27	48600	2021-08-22
1205	3	117	2	3	6600	2021-08-22
1214	3	118	18	23	89700	2021-08-23
1217	3	238	3	19	91200	2021-08-23
1222	3	218	26	17	54400	2021-08-23
1245	3	27	24	19	19000	2021-08-23
1248	3	108	16	4	31600	2021-08-23
1251	3	112	23	29	211700	2021-08-23
1273	3	203	27	10	27000	2021-08-24
1277	3	98	25	4	20000	2021-08-24
1283	3	238	15	26	124800	2021-08-24
1307	3	222	14	18	86400	2021-08-24
1308	3	153	26	8	8000	2021-08-24
1322	3	137	4	17	30600	2021-08-24
1329	3	144	3	12	12000	2021-08-25
1335	3	292	40	3	4500	2021-08-25
1340	3	114	38	3	10500	2021-08-25
1341	3	103	22	29	130500	2021-08-25
1349	3	176	11	12	12000	2021-08-25
1386	3	59	35	6	13200	2021-08-26
1389	3	221	36	4	11600	2021-08-26
1401	3	267	6	14	21000	2021-08-26
1405	3	61	19	1	2000	2021-08-26
1430	3	290	19	22	33000	2021-08-26
1433	3	14	5	7	11200	2021-08-26
1463	3	39	37	9	22500	2021-08-27
1468	3	25	13	30	42000	2021-08-27
1469	3	126	31	6	69600	2021-08-27
1470	3	188	26	10	20000	2021-08-27
1476	3	224	38	27	129600	2021-08-27
1488	3	217	15	18	57600	2021-08-28
1499	3	29	15	18	18000	2021-08-28
1510	3	220	31	7	24500	2021-08-28
1518	3	240	31	16	67200	2021-08-28
1539	3	11	6	20	36000	2021-08-28
1553	3	97	39	6	25800	2021-08-29
1557	3	195	26	5	29500	2021-08-29
1564	3	8	12	21	63000	2021-08-29
1572	3	206	15	1	4200	2021-08-29
1575	3	191	8	14	28000	2021-08-29
1588	3	204	8	25	25000	2021-08-29
1613	3	23	34	29	72500	2021-08-30
1616	3	229	30	10	48000	2021-08-30
1635	3	286	31	29	43500	2021-08-30
1640	3	163	37	16	32000	2021-08-30
1648	3	130	40	18	32400	2021-08-30
1650	3	8	29	25	75000	2021-08-31
1661	3	185	1	10	20000	2021-08-31
1676	3	29	9	18	18000	2021-08-31
1679	3	177	11	26	46800	2021-08-31
1681	3	111	7	28	43400	2021-08-31
1686	3	51	1	23	57500	2021-08-31
1717	3	148	12	1	1200	2021-09-01
1718	3	77	27	17	74800	2021-09-01
1732	3	217	16	23	73600	2021-09-01
1742	3	247	18	2	2400	2021-09-01
1754	3	172	23	20	36000	2021-09-01
1778	3	175	29	1	1200	2021-09-02
1782	3	96	13	5	10500	2021-09-02
1789	3	55	33	26	28600	2021-09-02
1791	3	181	5	11	38500	2021-09-02
1799	3	66	32	29	101500	2021-09-02
1812	3	209	27	27	113400	2021-09-02
1821	3	199	18	25	35000	2021-09-03
1827	3	76	16	1	5900	2021-09-03
1861	3	292	17	10	15000	2021-09-03
1867	3	181	31	14	49000	2021-09-03
1870	3	217	10	9	28800	2021-09-03
1893	3	248	34	23	34500	2021-09-04
1905	3	57	24	7	7700	2021-09-04
1910	3	296	2	25	37500	2021-09-04
1914	3	29	29	11	11000	2021-09-04
1922	3	113	20	2	3100	2021-09-04
1923	3	13	3	22	33000	2021-09-04
1930	3	244	15	3	6000	2021-09-05
1936	3	189	22	29	55100	2021-09-05
1939	3	131	20	6	12000	2021-09-05
1957	3	172	40	29	52200	2021-09-05
1970	3	10	10	26	49400	2021-09-05
1991	3	278	15	12	18000	2021-09-06
2002	3	52	16	10	24000	2021-09-06
2018	3	247	8	14	16800	2021-09-06
2030	3	283	21	20	60000	2021-09-06
2034	3	115	33	28	137200	2021-09-06
2039	3	110	32	14	28000	2021-09-06
2045	3	273	12	2	3000	2021-09-07
2060	3	25	2	29	40600	2021-09-07
2073	3	140	14	27	27000	2021-09-07
2083	3	150	40	6	7200	2021-09-07
2086	3	20	33	11	19800	2021-09-07
2092	3	199	3	16	22400	2021-09-07
2104	3	81	29	8	32800	2021-09-08
2107	3	15	16	7	7000	2021-09-08
2111	3	17	24	13	13000	2021-09-08
2118	3	135	16	20	20000	2021-09-08
2119	3	222	24	6	28800	2021-09-08
2161	3	107	16	6	45000	2021-09-09
2168	3	254	8	2	3000	2021-09-09
2169	3	123	8	17	76500	2021-09-09
2180	3	68	29	30	87000	2021-09-09
2188	3	255	38	30	54000	2021-09-09
2205	3	188	37	15	30000	2021-09-09
2211	3	229	28	27	129600	2021-09-10
2231	3	279	26	24	24000	2021-09-10
2232	3	91	15	2	16200	2021-09-10
2244	3	43	23	28	30800	2021-09-10
2248	3	264	20	8	20000	2021-09-10
2249	3	121	16	14	162400	2021-09-10
2271	3	256	10	24	55200	2021-09-11
2299	3	111	20	15	23250	2021-09-11
2308	3	87	37	16	40000	2021-09-11
2313	3	189	7	3	5700	2021-09-11
2317	3	135	3	7	7000	2021-09-11
2322	3	62	35	12	38400	2021-09-11
2330	3	247	12	9	10800	2021-09-12
2354	3	30	30	29	58000	2021-09-12
2368	3	61	31	12	24000	2021-09-12
2369	3	17	12	8	8000	2021-09-12
2374	3	289	22	14	28000	2021-09-12
2390	3	111	28	24	37200	2021-09-13
2405	3	29	33	28	28000	2021-09-13
2408	3	30	37	26	52000	2021-09-13
2409	3	213	18	24	156000	2021-09-13
2411	3	180	22	30	36000	2021-09-13
2440	3	112	13	14	102200	2021-09-14
2452	3	50	1	17	42500	2021-09-14
2456	3	223	24	25	120000	2021-09-14
2474	3	170	20	7	12600	2021-09-14
2479	3	151	3	19	34200	2021-09-14
2483	3	120	31	18	27000	2021-09-14
2506	3	246	16	2	2400	2021-09-15
2513	3	205	24	3	14400	2021-09-15
2537	3	20	25	17	30600	2021-09-15
2542	3	175	2	12	14400	2021-09-15
2545	3	7	9	16	80000	2021-09-15
2551	3	81	35	5	20500	2021-09-15
2558	3	113	16	7	10850	2021-09-16
2582	3	215	29	12	57600	2021-09-16
2586	3	179	24	8	12000	2021-09-16
2594	3	149	40	15	27000	2021-09-16
2596	3	262	20	25	42500	2021-09-16
2597	3	47	32	10	19000	2021-09-16
2616	3	15	27	10	10000	2021-09-17
2624	3	177	32	13	23400	2021-09-17
2626	3	214	26	19	19000	2021-09-17
2649	3	109	26	26	205400	2021-09-17
2650	3	2	14	7	20300	2021-09-17
2671	3	142	12	21	21000	2021-09-18
2678	3	63	5	23	89700	2021-09-18
2694	3	231	23	24	115200	2021-09-18
2711	3	204	19	6	6000	2021-09-18
2712	3	8	2	3	9000	2021-09-18
2713	3	111	29	28	43400	2021-09-18
2740	3	241	13	22	39600	2021-09-19
2742	3	147	1	3	3000	2021-09-19
2748	3	179	2	19	28500	2021-09-19
2763	3	254	23	23	34500	2021-09-19
2770	3	235	10	14	58800	2021-09-19
2774	3	27	20	4	4000	2021-09-20
2779	3	98	6	6	30000	2021-09-20
2802	3	76	39	12	70800	2021-09-20
2812	3	9	34	28	70000	2021-09-20
2814	3	234	18	14	67200	2021-09-20
2815	3	205	12	25	120000	2021-09-20
2837	3	176	15	20	20000	2021-09-21
2852	3	88	18	23	75900	2021-09-21
2855	3	149	17	15	27000	2021-09-21
2857	3	46	4	8	15200	2021-09-21
2859	3	258	11	29	145000	2021-09-21
2868	3	108	3	14	110600	2021-09-21
2889	3	227	29	23	124200	2021-09-22
2923	3	252	27	3	4500	2021-09-22
2928	3	126	2	28	324800	2021-09-22
2930	3	258	4	15	75000	2021-09-22
2939	3	58	22	3	6600	2021-09-22
2943	3	231	29	20	96000	2021-09-22
2946	3	81	13	12	49200	2021-09-23
2952	3	294	16	11	16500	2021-09-23
2960	3	116	12	24	52800	2021-09-23
2967	3	208	36	12	57600	2021-09-23
3000	3	147	31	29	29000	2021-09-23
3011	3	63	39	2	7800	2021-09-24
3014	3	193	32	21	29400	2021-09-24
3015	3	45	28	6	5400	2021-09-24
3022	3	139	18	10	10000	2021-09-24
3042	3	182	36	28	98000	2021-09-24
3045	3	109	11	23	181700	2021-09-24
3058	3	191	6	15	30000	2021-09-25
3059	3	155	38	20	50000	2021-09-25
3063	3	129	3	4	6000	2021-09-25
3084	3	242	7	21	37800	2021-09-25
3088	3	157	21	16	19200	2021-09-25
3123	3	81	36	17	69700	2021-09-26
3135	3	255	20	28	50400	2021-09-26
3139	3	147	20	12	12000	2021-09-26
3148	3	110	12	26	52000	2021-09-26
3149	3	180	25	6	7200	2021-09-26
3165	3	290	7	19	28500	2021-09-26
3190	3	46	16	17	32300	2021-09-27
3197	3	182	33	29	101500	2021-09-27
3203	3	145	36	4	7200	2021-09-27
3204	3	17	3	12	12000	2021-09-27
3205	3	150	3	9	10800	2021-09-27
3222	3	197	12	10	65000	2021-09-28
3233	3	150	36	10	12000	2021-09-28
3249	3	69	7	13	24700	2021-09-28
3256	3	3	22	5	5000	2021-09-28
3266	3	154	22	19	19000	2021-09-28
3275	3	44	34	6	5400	2021-09-28
3286	3	126	30	14	162400	2021-09-29
3293	3	264	12	27	67500	2021-09-29
3297	3	10	32	29	55100	2021-09-29
3310	3	114	23	16	56000	2021-09-29
3319	3	295	1	27	40500	2021-09-29
3331	3	271	22	3	7200	2021-09-29
3341	3	125	30	12	139200	2021-09-30
3344	3	276	17	25	25000	2021-09-30
3347	3	287	15	21	63000	2021-09-30
3348	3	128	8	3	4500	2021-09-30
3374	3	32	30	1	2000	2021-09-30
3402	3	106	14	1	12500	2021-10-01
3413	3	207	11	25	120000	2021-10-01
3416	3	72	13	25	47500	2021-10-01
3425	3	139	34	17	17000	2021-10-01
3432	3	243	1	5	9000	2021-10-01
3445	3	102	34	9	27000	2021-10-01
3453	3	27	32	3	3000	2021-10-02
3471	3	180	33	16	19200	2021-10-02
3475	3	268	20	11	16500	2021-10-02
3480	3	121	19	9	104400	2021-10-02
3497	3	261	6	9	15300	2021-10-02
3505	3	217	22	28	89600	2021-10-03
3531	3	250	29	22	59400	2021-10-03
3532	3	173	24	9	22500	2021-10-03
3540	3	222	13	8	38400	2021-10-03
3549	3	236	9	13	54600	2021-10-03
3551	3	29	22	20	20000	2021-10-03
3556	3	24	11	2	3000	2021-10-04
3557	3	214	9	26	26000	2021-10-04
3568	3	257	15	23	52900	2021-10-04
3594	3	245	11	30	36000	2021-10-04
3600	3	296	11	26	39000	2021-10-04
3632	3	8	1	4	12000	2021-10-05
3649	3	242	26	23	41400	2021-10-05
3652	3	92	32	19	153900	2021-10-05
3653	3	51	3	3	7500	2021-10-05
3662	3	2	34	13	37700	2021-10-05
5	4	150	12	19	22800	2021-08-01
9	4	41	40	23	39100	2021-08-01
20	4	15	3	7	7000	2021-08-01
24	4	151	8	3	5400	2021-08-01
32	4	279	6	23	23000	2021-08-01
46	4	190	27	22	35200	2021-08-01
62	4	245	22	16	19200	2021-08-02
68	4	172	27	23	41400	2021-08-02
84	4	170	15	15	27000	2021-08-02
90	4	293	25	21	21000	2021-08-02
105	4	6	25	25	125000	2021-08-02
111	4	34	15	10	20000	2021-08-03
128	4	197	21	21	136500	2021-08-03
136	4	38	30	20	50000	2021-08-03
139	4	229	35	21	100800	2021-08-03
141	4	232	27	18	86400	2021-08-03
172	4	282	16	13	39000	2021-08-04
197	4	283	1	21	63000	2021-08-04
200	4	141	7	15	15000	2021-08-04
206	4	7	39	24	120000	2021-08-04
207	4	246	29	24	28800	2021-08-04
209	4	230	5	17	81600	2021-08-04
223	4	167	18	7	8400	2021-08-05
231	4	199	19	12	16800	2021-08-05
232	4	70	33	29	101500	2021-08-05
249	4	274	33	19	28500	2021-08-05
253	4	167	13	11	13200	2021-08-05
254	4	171	12	16	28800	2021-08-05
283	4	198	12	7	27300	2021-08-06
297	4	271	35	17	40800	2021-08-06
314	4	271	17	2	4800	2021-08-06
315	4	1	23	7	14000	2021-08-06
327	4	71	19	29	113100	2021-08-06
339	4	75	5	12	24000	2021-08-07
354	4	179	3	26	39000	2021-08-07
356	4	229	28	26	124800	2021-08-07
369	4	255	24	4	7200	2021-08-07
374	4	45	23	30	27000	2021-08-07
391	4	117	28	15	33000	2021-08-08
395	4	266	21	21	31500	2021-08-08
399	4	7	35	3	15000	2021-08-08
420	4	274	40	13	19500	2021-08-08
426	4	257	3	17	39100	2021-08-08
427	4	87	30	10	25000	2021-08-08
438	4	232	27	11	52800	2021-08-09
447	4	54	31	24	69600	2021-08-09
450	4	122	38	6	27000	2021-08-09
476	4	174	32	24	60000	2021-08-09
487	4	133	11	18	32400	2021-08-09
493	4	190	7	1	1600	2021-08-09
501	4	125	14	22	255200	2021-08-10
505	4	204	36	11	11000	2021-08-10
522	4	84	17	7	28700	2021-08-10
541	4	112	28	20	146000	2021-08-10
547	4	86	9	8	127200	2021-08-10
553	4	156	12	15	37500	2021-08-10
558	4	21	35	18	27000	2021-08-11
570	4	272	36	16	24000	2021-08-11
574	4	73	30	29	113100	2021-08-11
580	4	99	12	14	42000	2021-08-11
589	4	54	21	25	72500	2021-08-11
616	4	167	26	28	33600	2021-08-12
627	4	106	27	2	25000	2021-08-12
629	4	162	27	9	18000	2021-08-12
650	4	275	24	2	2000	2021-08-12
663	4	175	5	18	21600	2021-08-12
664	4	160	9	24	43200	2021-08-13
667	4	240	21	26	109200	2021-08-13
674	4	160	28	2	3600	2021-08-13
699	4	173	19	19	47500	2021-08-13
703	4	125	4	14	162400	2021-08-13
711	4	271	35	24	57600	2021-08-13
729	4	48	9	18	34200	2021-08-14
733	4	211	32	19	66500	2021-08-14
734	4	6	5	11	55000	2021-08-14
748	4	241	30	10	18000	2021-08-14
766	4	12	15	25	50000	2021-08-14
780	4	27	6	21	21000	2021-08-14
803	4	264	32	14	35000	2021-08-15
813	4	107	20	11	82500	2021-08-15
816	4	284	38	4	6000	2021-08-15
818	4	243	37	19	34200	2021-08-15
819	4	219	5	1	6500	2021-08-15
841	4	237	37	10	48000	2021-08-16
843	4	118	30	18	70200	2021-08-16
847	4	265	2	24	96000	2021-08-16
864	4	151	24	8	14400	2021-08-16
867	4	168	19	30	54000	2021-08-16
886	4	243	6	26	46800	2021-08-17
889	4	6	39	3	15000	2021-08-17
899	4	272	12	24	36000	2021-08-17
926	4	77	8	9	39600	2021-08-17
928	4	102	16	25	75000	2021-08-17
933	4	187	14	17	34000	2021-08-17
944	4	214	16	25	25000	2021-08-18
952	4	50	27	19	47500	2021-08-18
955	4	60	35	17	30600	2021-08-18
957	4	283	37	10	30000	2021-08-18
961	4	44	37	12	10800	2021-08-18
962	4	14	3	4	6400	2021-08-18
999	4	283	12	4	12000	2021-08-19
1020	4	265	39	19	76000	2021-08-19
1037	4	236	23	8	33600	2021-08-19
1043	4	16	2	29	43500	2021-08-19
1047	4	195	13	22	129800	2021-08-19
1061	4	70	33	3	10500	2021-08-20
1071	4	7	33	11	55000	2021-08-20
1076	4	170	30	7	12600	2021-08-20
1079	4	94	25	22	275000	2021-08-20
1084	4	291	2	9	13500	2021-08-20
1105	4	94	15	13	162500	2021-08-21
1118	4	20	39	9	16200	2021-08-21
1122	4	138	21	12	21600	2021-08-21
1147	4	161	15	6	15000	2021-08-21
1150	4	200	31	28	134400	2021-08-21
1166	4	80	20	22	118800	2021-08-22
1170	4	123	15	4	18000	2021-08-22
1175	4	49	38	20	44000	2021-08-22
1177	4	218	26	19	60800	2021-08-22
1178	4	159	27	13	23400	2021-08-22
1186	4	20	11	14	25200	2021-08-22
1229	4	7	24	9	45000	2021-08-23
1233	4	162	11	2	4000	2021-08-23
1239	4	164	26	22	22000	2021-08-23
1243	4	286	32	24	36000	2021-08-23
1255	4	103	31	30	135000	2021-08-23
1258	4	122	13	23	103500	2021-08-23
1276	4	200	31	2	9600	2021-08-24
1291	4	45	23	2	1800	2021-08-24
1293	4	170	21	3	5400	2021-08-24
1294	4	144	6	27	27000	2021-08-24
1310	4	13	32	5	7500	2021-08-24
1313	4	122	2	25	112500	2021-08-24
1344	4	20	32	19	34200	2021-08-25
1355	4	127	10	4	6000	2021-08-25
1374	4	279	2	27	27000	2021-08-25
1377	4	198	36	30	117000	2021-08-25
1379	4	202	9	9	13500	2021-08-25
1387	4	250	15	25	67500	2021-08-26
1402	4	232	28	9	43200	2021-08-26
1410	4	8	5	20	60000	2021-08-26
1413	4	290	7	1	1500	2021-08-26
1432	4	160	17	30	54000	2021-08-26
1436	4	50	13	26	65000	2021-08-26
1443	4	194	7	7	24500	2021-08-27
1458	4	147	20	17	17000	2021-08-27
1471	4	83	33	1	4100	2021-08-27
1482	4	199	23	21	29400	2021-08-27
1483	4	265	28	29	116000	2021-08-27
1496	4	154	35	5	5000	2021-08-28
1500	4	63	33	25	97500	2021-08-28
1502	4	153	7	16	16000	2021-08-28
1524	4	244	21	24	48000	2021-08-28
1533	4	39	38	17	42500	2021-08-28
1558	4	264	32	19	47500	2021-08-29
1562	4	279	8	30	30000	2021-08-29
1565	4	77	29	21	92400	2021-08-29
1569	4	159	40	7	12600	2021-08-29
1584	4	167	39	19	22800	2021-08-29
1587	4	151	20	22	39600	2021-08-29
1597	4	20	29	28	50400	2021-08-30
1606	4	134	18	27	48600	2021-08-30
1624	4	149	34	26	46800	2021-08-30
1625	4	30	35	13	26000	2021-08-30
1631	4	278	20	23	34500	2021-08-30
1671	4	167	29	19	22800	2021-08-31
1683	4	254	34	19	28500	2021-08-31
1697	4	181	29	10	35000	2021-08-31
1701	4	263	4	3	7500	2021-08-31
1703	4	183	11	11	22000	2021-08-31
1704	4	38	39	20	50000	2021-08-31
1707	4	121	9	19	220400	2021-09-01
1709	4	105	15	2	25000	2021-09-01
1739	4	35	20	17	79900	2021-09-01
1744	4	267	5	18	27000	2021-09-01
1747	4	82	10	17	69700	2021-09-01
1763	4	201	10	26	169000	2021-09-02
1773	4	24	32	3	4500	2021-09-02
1775	4	138	23	11	19800	2021-09-02
1792	4	240	32	7	29400	2021-09-02
1798	4	193	20	28	39200	2021-09-02
1800	4	221	13	18	52200	2021-09-02
1830	4	224	24	29	139200	2021-09-03
1841	4	241	28	14	25200	2021-09-03
1843	4	194	9	24	84000	2021-09-03
1868	4	95	29	28	58800	2021-09-03
1869	4	215	1	25	120000	2021-09-03
1881	4	43	35	6	6600	2021-09-04
1889	4	56	38	1	2900	2021-09-04
1896	4	175	1	13	15600	2021-09-04
1901	4	250	22	19	51300	2021-09-04
1906	4	296	10	12	18000	2021-09-04
1927	4	75	18	25	50000	2021-09-04
1929	4	47	9	1	1900	2021-09-05
1940	4	18	32	20	90000	2021-09-05
1952	4	287	21	21	63000	2021-09-05
1965	4	179	37	3	4500	2021-09-05
1972	4	56	35	29	84100	2021-09-05
1990	4	45	34	16	14400	2021-09-06
1996	4	240	2	12	50400	2021-09-06
2013	4	280	21	15	15000	2021-09-06
2014	4	249	29	27	59400	2021-09-06
2024	4	138	29	7	12600	2021-09-06
2025	4	233	21	24	100800	2021-09-06
2046	4	13	18	3	4500	2021-09-07
2063	4	133	4	14	25200	2021-09-07
2079	4	279	30	23	23000	2021-09-07
2082	4	31	38	4	8000	2021-09-07
2094	4	64	7	14	49000	2021-09-07
2097	4	239	25	3	14400	2021-09-08
2102	4	111	14	30	46500	2021-09-08
2116	4	275	31	13	13000	2021-09-08
2120	4	82	36	7	28700	2021-09-08
2140	4	176	2	23	23000	2021-09-08
2150	4	126	37	10	116000	2021-09-08
2152	4	244	40	20	40000	2021-09-09
2164	4	77	17	29	127600	2021-09-09
2166	4	26	24	3	4200	2021-09-09
2171	4	183	34	2	4000	2021-09-09
2187	4	16	16	2	3000	2021-09-09
2192	4	289	35	4	8000	2021-09-09
2221	4	143	11	19	19000	2021-09-10
2230	4	142	14	29	29000	2021-09-10
2234	4	262	12	12	20400	2021-09-10
2239	4	261	14	4	6800	2021-09-10
2254	4	246	27	30	36000	2021-09-10
2257	4	175	28	30	36000	2021-09-10
2275	4	34	5	29	58000	2021-09-11
2280	4	44	34	17	15300	2021-09-11
2291	4	136	29	9	9000	2021-09-11
2295	4	273	5	13	19500	2021-09-11
2318	4	153	19	20	20000	2021-09-11
2320	4	245	20	18	21600	2021-09-11
2341	4	120	38	5	7500	2021-09-12
2352	4	39	24	26	65000	2021-09-12
2353	4	286	13	9	13500	2021-09-12
2358	4	110	3	27	54000	2021-09-12
2361	4	228	12	5	27000	2021-09-12
2394	4	186	5	2	3400	2021-09-13
2413	4	38	25	3	7500	2021-09-13
2414	4	297	6	20	30000	2021-09-13
2416	4	51	26	23	57500	2021-09-13
2430	4	95	23	23	48300	2021-09-13
2441	4	3	30	19	19000	2021-09-14
2444	4	199	4	24	33600	2021-09-14
