순번	판매자 번호	음식	 상품 설명 	 가격 
274	Z031	투움바 파스타	최고급 파마산 치즈와 새우, 양송이를 함께 볶아 깊고 진한 크림소스 파스타	9,000
275	Z031	부시맨 브레드	허니망고버터와 함께 먹는 갈색의 고소한 빵	2,500
276	Z031	오지치즈후라이	두툼한 감자튀김에 체다치즈, 잭치즈를 듬뿍 녹여 베이컨을 뿌린 메뉴	5,000
277	Z031	서로인 스테이크	무난무난한 스테이크	15,000
278	Z031	치킨 텐더 샐러드	부드럽고 고소한 닭 안심 튀김을 올린 샐러드	9,000
279	Z031	샐러드	베이컨, 파마산 치즈가 잘 어우려진 신선한 로메인에 부드러운 시저 드레싱을 결들인 샐러드	7,000
280	Z031	배이비백립	부드러운 돼지갈비에 특제 소스를 빌라 구워낸 바비규 요리	12,000
281	Z032	마카롱	 마카롱 특유의 카사삭 부서지는 독특한 식감이 도드라지는 달콤한 디져트	1,500
282	Z032	티라미수	치즈, 크림, 커피, 코코아 파우더를 주재료로 사용하는 디저트	2,000
283	Z032	베이글	맛있는 베이글 빵에 크림치즈를 발라먹는 음식	1,500
284	Z032	바닐라 아이스크림	시원한 아이스크림에 바닐라맛이 추가된 아이스크림	2,000
285	Z032	초코 아이스크림	시원한 아이스크림에 초콜릿맛이 추가된 아이스크림	2,000
286	Z032	아포가토	바닐라 아이스크림 위에 커피를 타서 먹는 디저트	2,500
287	Z032	아메리카노	가장 기본적인 커피	2,000
288	Z032	카라멜 마끼아또	라떼 마키아토에 캐러멜 소스를 첨가한 것	2,500
289	Z032	딸기 스무디	딸기와 얼을음 믹서에 넣어 갈아 걸쭉하게 만든 음료	3,000
290	Z033	후라이드 치킨	닭고기를 튀기기만 하면 되는 매우 단순한 발상과 조리법	10,000
291	Z033	양념치킨	프라이드 치킨에 한국인의 입맛에 맞는 매콤달콤한 양념을 버무려 탄생한 요리	10,500
292	Z033	간장치킨	후라이드에 간장 소스를 바르고 깐풍기처럼 한 번 더 볶거나 아예 빠뜨리고 끓여서 만든다.	11,000
293	Z033	구운치킨	로스트 치킨이라고도 불린다. 영국에서는 로스트 디너 중 하나로 애용되는 음식이다.	11,000
294	Z033	마늘치킨	알싸한 마늘이 발라진 치킨	12,000
295	Z033	파채치킨	치킨 위에 파채가 무수히 많이 올라간 치킨	12,000
296	Z033	카레치킨	카레의 향이 느껴져 맛이 좋은 치킨	11,000
297	Z034	마카롱	 마카롱 특유의 카사삭 부서지는 독특한 식감이 도드라지는 달콤한 디져트	1,500
298	Z034	티라미수	치즈, 크림, 커피, 코코아 파우더를 주재료로 사용하는 디저트	2,000
299	Z034	베이글	맛있는 베이글 빵에 크림치즈를 발라먹는 음식	1,500
300	Z034	바닐라 아이스크림	시원한 아이스크림에 바닐라맛이 추가된 아이스크림	2,000
301	Z034	초코 아이스크림	시원한 아이스크림에 초콜릿맛이 추가된 아이스크림	2,000
302	Z034	아포가토	바닐라 아이스크림 위에 커피를 타서 먹는 디저트	2,500
303	Z034	아메리카노	가장 기본적인 커피	2,000
304	Z034	카라멜 마끼아또	라떼 마키아토에 캐러멜 소스를 첨가한 것	2,500
305	Z034	딸기 스무디	딸기와 얼을음 믹서에 넣어 갈아 걸쭉하게 만든 음료	3,000
306	Z035	마카롱	 마카롱 특유의 카사삭 부서지는 독특한 식감이 도드라지는 달콤한 디져트	1,500
307	Z035	티라미수	치즈, 크림, 커피, 코코아 파우더를 주재료로 사용하는 디저트	2,000
308	Z035	베이글	맛있는 베이글 빵에 크림치즈를 발라먹는 음식	1,500
309	Z035	바닐라 아이스크림	시원한 아이스크림에 바닐라맛이 추가된 아이스크림	2,000
310	Z035	초코 아이스크림	시원한 아이스크림에 초콜릿맛이 추가된 아이스크림	2,000
311	Z035	아포가토	바닐라 아이스크림 위에 커피를 타서 먹는 디저트	2,500
312	Z035	아메리카노	가장 기본적인 커피	2,000
313	Z035	카라멜 마끼아또	라떼 마키아토에 캐러멜 소스를 첨가한 것	2,500
314	Z035	딸기 스무디	딸기와 얼을음 믹서에 넣어 갈아 걸쭉하게 만든 음료	3,000
315	Z036	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
316	Z036	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
317	Z036	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
318	Z036	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
319	Z036	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
320	Z036	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
321	Z036	낫토	일본의 전통음식 중 하나	4,500
322	Z036	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
323	Z036	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
324	Z037	짜장면	 춘장과 야채·고기를 식용유에 볶아서 만든 것을 국수에 비벼 먹는 한국식 중화 요리	4,000
325	Z037	짬뽕	해산물과 채소를 볶아 육수로 끓여낸 매운 국물에 국수를 넣어 만든 한국식 중국 면요리의 일종.	5,000
326	Z037	간짜장	짜장면의 일종으로, 물이나 육수를 붓지 않고 만든 짜장	5,000
327	Z037	탕수육	돼지고기에 녹말을 묻혀서 기름에 튀긴 튀김에 설탕과 식초, 야채, 녹말물을 주재료로 만든 새콤달콤한 소스를 곁들여 먹는 한국식 중화 요리	6,000
328	Z037	볶음밥	밥을 다른 재료와 함께 넣고 기름에 볶아 만든 음식	5,000
329	Z037	군만두	얇은 만두피에 고기, 부추, 당면 등을 넣어 감싼 후 기름에 구워서 먹는 요리	2,000
330	Z037	양장피	양장피와 야채 등을 곁들여 겨자소스를 부어 섞어 먹는 중국요리	4,000
331	Z037	마라탕	혀가 저리게 매운 맛이 나는 탕 요리	6,500
332	Z037	유린기	기름을 뿌린 닭고기'라는 뜻이며, 양상추, 양파 따위 아삭한 식감을 가진 채소 위에 튀긴 닭고기를 얹은 뒤 청고추와 홍고추를 곁들인 간장 양념을 부어먹는 요리다	8,000
333	Z038	짜장면	 춘장과 야채·고기를 식용유에 볶아서 만든 것을 국수에 비벼 먹는 한국식 중화 요리	4,000
334	Z038	짬뽕	해산물과 채소를 볶아 육수로 끓여낸 매운 국물에 국수를 넣어 만든 한국식 중국 면요리의 일종.	5,000
335	Z038	간짜장	짜장면의 일종으로, 물이나 육수를 붓지 않고 만든 짜장	5,000
336	Z038	탕수육	돼지고기에 녹말을 묻혀서 기름에 튀긴 튀김에 설탕과 식초, 야채, 녹말물을 주재료로 만든 새콤달콤한 소스를 곁들여 먹는 한국식 중화 요리	6,000
337	Z038	볶음밥	밥을 다른 재료와 함께 넣고 기름에 볶아 만든 음식	5,000
338	Z038	군만두	얇은 만두피에 고기, 부추, 당면 등을 넣어 감싼 후 기름에 구워서 먹는 요리	2,000
339	Z038	양장피	양장피와 야채 등을 곁들여 겨자소스를 부어 섞어 먹는 중국요리	4,000
340	Z038	마라탕	혀가 저리게 매운 맛이 나는 탕 요리	6,500
341	Z038	유린기	기름을 뿌린 닭고기'라는 뜻이며, 양상추, 양파 따위 아삭한 식감을 가진 채소 위에 튀긴 닭고기를 얹은 뒤 청고추와 홍고추를 곁들인 간장 양념을 부어먹는 요리다	8,000
342	Z039	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
343	Z039	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
344	Z039	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
345	Z039	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
346	Z039	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
347	Z039	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
348	Z039	낫토	일본의 전통음식 중 하나	4,500
349	Z039	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
350	Z039	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
351	Z040	짜장면	 춘장과 야채·고기를 식용유에 볶아서 만든 것을 국수에 비벼 먹는 한국식 중화 요리	4,000
352	Z040	짬뽕	해산물과 채소를 볶아 육수로 끓여낸 매운 국물에 국수를 넣어 만든 한국식 중국 면요리의 일종.	5,000
353	Z040	간짜장	짜장면의 일종으로, 물이나 육수를 붓지 않고 만든 짜장	5,000
354	Z040	탕수육	돼지고기에 녹말을 묻혀서 기름에 튀긴 튀김에 설탕과 식초, 야채, 녹말물을 주재료로 만든 새콤달콤한 소스를 곁들여 먹는 한국식 중화 요리	6,000
355	Z040	볶음밥	밥을 다른 재료와 함께 넣고 기름에 볶아 만든 음식	5,000
356	Z040	군만두	얇은 만두피에 고기, 부추, 당면 등을 넣어 감싼 후 기름에 구워서 먹는 요리	2,000
357	Z040	양장피	양장피와 야채 등을 곁들여 겨자소스를 부어 섞어 먹는 중국요리	4,000
358	Z040	마라탕	혀가 저리게 매운 맛이 나는 탕 요리	6,500
359	Z040	유린기	기름을 뿌린 닭고기'라는 뜻이며, 양상추, 양파 따위 아삭한 식감을 가진 채소 위에 튀긴 닭고기를 얹은 뒤 청고추와 홍고추를 곁들인 간장 양념을 부어먹는 요리다	8,000
360	Z041	까르보나라	관찰레를 볶아 기름을 낸 뒤 달걀 노른자에 치즈와 후추를 섞은 소스를 면과 함께 버무린 파스타 요리이다.	4,500
361	Z041	토마토 파스타	잘 만든 토마토 소스는 그냥 이것만 있어도 훌륭한 파스타 소스가 된다.	6,000
362	Z041	알리오 올리오	마늘을 편썰거나 다진 것을 올리브유에 볶아 향을 우려내고, 이에 면수를 더해 유화시킨 소스를 면에 버무려 먹는다.	7,600
363	Z041	리조또	이탈리아 요리 중 하나로, 쌀을 주재료로 사용해서 만든다.	5,000
364	Z041	참치파스타	참치 캔을 이용하여 간단하게 만드는 즉석 파스타	6,500
365	Z041	스테이크	단어의 어원은 '구운 요리'를 뜻하는 고대 노르드어 단어	9,000
366	Z041	에이드	설탕 등의 단 성분과 과일즙을 넣어 만드는 시원한 음료	2,500
367	Z041	커틀렛	얇게 저민 돼지, 소, 닭고기 등을 빵가루에 묻혀 굽거나 튀겨낸 서양 음식	6,000
368	Z041	오믈렛	프랑스의 계란 요리	5,000
369	Z041	사이다	음료	1,500
370	Z042	짜장면	 춘장과 야채·고기를 식용유에 볶아서 만든 것을 국수에 비벼 먹는 한국식 중화 요리	4,000
371	Z042	짬뽕	해산물과 채소를 볶아 육수로 끓여낸 매운 국물에 국수를 넣어 만든 한국식 중국 면요리의 일종.	5,000
372	Z042	간짜장	짜장면의 일종으로, 물이나 육수를 붓지 않고 만든 짜장	5,000
373	Z042	탕수육	돼지고기에 녹말을 묻혀서 기름에 튀긴 튀김에 설탕과 식초, 야채, 녹말물을 주재료로 만든 새콤달콤한 소스를 곁들여 먹는 한국식 중화 요리	6,000
374	Z042	볶음밥	밥을 다른 재료와 함께 넣고 기름에 볶아 만든 음식	5,000
375	Z042	군만두	얇은 만두피에 고기, 부추, 당면 등을 넣어 감싼 후 기름에 구워서 먹는 요리	2,000
376	Z042	양장피	양장피와 야채 등을 곁들여 겨자소스를 부어 섞어 먹는 중국요리	4,000
377	Z042	마라탕	혀가 저리게 매운 맛이 나는 탕 요리	6,500
378	Z042	유린기	기름을 뿌린 닭고기'라는 뜻이며, 양상추, 양파 따위 아삭한 식감을 가진 채소 위에 튀긴 닭고기를 얹은 뒤 청고추와 홍고추를 곁들인 간장 양념을 부어먹는 요리다	8,000
379	Z043	김치찜	김치와 돼지고기를 쪄서 만든 음식	5,000
380	Z043	돼지갈비	돼지갈비에 양념을 재워 구워먹는 환상적인 음식	6,000
381	Z043	갈비탕	큼지막한 갈비를 사골육수에 끓여 만든 요리	5,500
382	Z043	김치찌개	김치와 돼지고기가 들어간 밥과 궁합이 잘맞는 찌개	6,000
383	Z043	된장찌개	된장을 주재료로 끓인 전통 요리	4,500
384	Z043	잡채	당면과 다양한 재료를 볶아 만든 음식	4,000
385	Z043	모둠전	다양한 전을 모은 음식	3,000
386	Z043	비빔밥	여러 채소와 고기 그리고 고추장과 함께 비벼먹는 음식	2,500
387	Z043	족발	돼지의 다리를 양념한 국물에 푹 삶아낸 음식	8,000
388	Z043	보쌈	돼지고기를 삶은 수육에 배춧잎 또는 겉절이에 싸먹는 음식	9,000
389	Z043	불고기 덮밥	맛있는 불고기를 밥에 가득담은 덮밥	8,000
390	Z043	제육볶음	돼지고기를 맛있는 양념에 볶은 음식	6,000
391	Z043	사이다	음료	1,500
392	Z044	마카롱	 마카롱 특유의 카사삭 부서지는 독특한 식감이 도드라지는 달콤한 디져트	1,500
393	Z044	티라미수	치즈, 크림, 커피, 코코아 파우더를 주재료로 사용하는 디저트	2,000
394	Z044	베이글	맛있는 베이글 빵에 크림치즈를 발라먹는 음식	1,500
395	Z044	바닐라 아이스크림	시원한 아이스크림에 바닐라맛이 추가된 아이스크림	2,000
396	Z044	초코 아이스크림	시원한 아이스크림에 초콜릿맛이 추가된 아이스크림	2,000
397	Z044	아포가토	바닐라 아이스크림 위에 커피를 타서 먹는 디저트	2,500
398	Z044	아메리카노	가장 기본적인 커피	2,000
399	Z044	카라멜 마끼아또	라떼 마키아토에 캐러멜 소스를 첨가한 것	2,500
400	Z044	딸기 스무디	딸기와 얼을음 믹서에 넣어 갈아 걸쭉하게 만든 음료	3,000
401	Z045	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
402	Z045	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
403	Z045	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
404	Z045	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
405	Z045	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
406	Z045	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
407	Z045	낫토	일본의 전통음식 중 하나	4,500
408	Z045	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
409	Z045	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
410	Z046	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
411	Z046	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
412	Z046	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
413	Z046	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
414	Z046	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
415	Z046	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
416	Z046	낫토	일본의 전통음식 중 하나	4,500
417	Z046	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
418	Z046	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
419	Z047	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
420	Z047	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
421	Z047	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
422	Z047	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
423	Z047	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
424	Z047	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
425	Z047	낫토	일본의 전통음식 중 하나	4,500
426	Z047	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
427	Z047	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
428	Z048	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
429	Z048	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
430	Z048	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
431	Z048	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
432	Z048	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
433	Z048	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
434	Z048	낫토	일본의 전통음식 중 하나	4,500
435	Z048	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
436	Z048	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
437	Z049	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
438	Z049	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
439	Z049	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
440	Z049	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
441	Z049	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
442	Z049	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
443	Z049	낫토	일본의 전통음식 중 하나	4,500
444	Z049	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
445	Z049	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
446	Z050	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
447	Z050	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
448	Z050	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
449	Z050	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
450	Z050	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
451	Z050	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
452	Z050	낫토	일본의 전통음식 중 하나	4,500
453	Z050	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
454	Z050	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
455	Z051	김치찜	김치와 돼지고기를 쪄서 만든 음식	5,000
456	Z051	돼지갈비	돼지갈비에 양념을 재워 구워먹는 환상적인 음식	6,000
457	Z051	갈비탕	큼지막한 갈비를 사골육수에 끓여 만든 요리	5,500
458	Z051	김치찌개	김치와 돼지고기가 들어간 밥과 궁합이 잘맞는 찌개	6,000
459	Z051	된장찌개	된장을 주재료로 끓인 전통 요리	4,500
460	Z051	잡채	당면과 다양한 재료를 볶아 만든 음식	4,000
461	Z051	모둠전	다양한 전을 모은 음식	3,000
462	Z051	비빔밥	여러 채소와 고기 그리고 고추장과 함께 비벼먹는 음식	2,500
463	Z051	족발	돼지의 다리를 양념한 국물에 푹 삶아낸 음식	8,000
464	Z051	보쌈	돼지고기를 삶은 수육에 배춧잎 또는 겉절이에 싸먹는 음식	9,000
465	Z051	불고기 덮밥	맛있는 불고기를 밥에 가득담은 덮밥	8,000
466	Z051	제육볶음	돼지고기를 맛있는 양념에 볶은 음식	6,000
467	Z052	김치찜	김치와 돼지고기를 쪄서 만든 음식	5,000
468	Z052	돼지갈비	돼지갈비에 양념을 재워 구워먹는 환상적인 음식	6,000
469	Z052	갈비탕	큼지막한 갈비를 사골육수에 끓여 만든 요리	5,500
470	Z052	김치찌개	김치와 돼지고기가 들어간 밥과 궁합이 잘맞는 찌개	6,000
471	Z052	된장찌개	된장을 주재료로 끓인 전통 요리	4,500
472	Z052	잡채	당면과 다양한 재료를 볶아 만든 음식	4,000
473	Z052	모둠전	다양한 전을 모은 음식	3,000
474	Z052	비빔밥	여러 채소와 고기 그리고 고추장과 함께 비벼먹는 음식	2,500
475	Z052	족발	돼지의 다리를 양념한 국물에 푹 삶아낸 음식	8,000
476	Z052	보쌈	돼지고기를 삶은 수육에 배춧잎 또는 겉절이에 싸먹는 음식	9,000
477	Z052	불고기 덮밥	맛있는 불고기를 밥에 가득담은 덮밥	8,000
478	Z052	제육볶음	돼지고기를 맛있는 양념에 볶은 음식	6,000
479	Z053	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
480	Z053	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
481	Z053	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
482	Z053	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
483	Z053	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
484	Z053	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
485	Z053	낫토	일본의 전통음식 중 하나	4,500
486	Z053	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
487	Z053	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
488	Z054	마카롱	 마카롱 특유의 카사삭 부서지는 독특한 식감이 도드라지는 달콤한 디져트	1,500
489	Z054	티라미수	치즈, 크림, 커피, 코코아 파우더를 주재료로 사용하는 디저트	2,000
490	Z054	베이글	맛있는 베이글 빵에 크림치즈를 발라먹는 음식	1,500
491	Z054	바닐라 아이스크림	시원한 아이스크림에 바닐라맛이 추가된 아이스크림	2,000
492	Z054	초코 아이스크림	시원한 아이스크림에 초콜릿맛이 추가된 아이스크림	2,000
493	Z054	아포가토	바닐라 아이스크림 위에 커피를 타서 먹는 디저트	2,500
494	Z054	아메리카노	가장 기본적인 커피	2,000
495	Z054	카라멜 마끼아또	라떼 마키아토에 캐러멜 소스를 첨가한 것	2,500
496	Z054	딸기 스무디	딸기와 얼을음 믹서에 넣어 갈아 걸쭉하게 만든 음료	3,000
497	Z055	김치찜	김치와 돼지고기를 쪄서 만든 음식	5,000
498	Z055	돼지갈비	돼지갈비에 양념을 재워 구워먹는 환상적인 음식	6,000
499	Z055	갈비탕	큼지막한 갈비를 사골육수에 끓여 만든 요리	5,500
500	Z055	김치찌개	김치와 돼지고기가 들어간 밥과 궁합이 잘맞는 찌개	6,000
501	Z055	된장찌개	된장을 주재료로 끓인 전통 요리	4,500
502	Z055	잡채	당면과 다양한 재료를 볶아 만든 음식	4,000
503	Z055	모둠전	다양한 전을 모은 음식	3,000
504	Z055	비빔밥	여러 채소와 고기 그리고 고추장과 함께 비벼먹는 음식	2,500
505	Z055	족발	돼지의 다리를 양념한 국물에 푹 삶아낸 음식	8,000
506	Z055	보쌈	돼지고기를 삶은 수육에 배춧잎 또는 겉절이에 싸먹는 음식	9,000
507	Z055	불고기 덮밥	맛있는 불고기를 밥에 가득담은 덮밥	8,000
508	Z055	제육볶음	돼지고기를 맛있는 양념에 볶은 음식	6,000
509	Z056	짜장면	 춘장과 야채·고기를 식용유에 볶아서 만든 것을 국수에 비벼 먹는 한국식 중화 요리	4,000
510	Z056	짬뽕	해산물과 채소를 볶아 육수로 끓여낸 매운 국물에 국수를 넣어 만든 한국식 중국 면요리의 일종.	5,000
511	Z056	간짜장	짜장면의 일종으로, 물이나 육수를 붓지 않고 만든 짜장	5,000
512	Z056	탕수육	돼지고기에 녹말을 묻혀서 기름에 튀긴 튀김에 설탕과 식초, 야채, 녹말물을 주재료로 만든 새콤달콤한 소스를 곁들여 먹는 한국식 중화 요리	6,000
513	Z056	볶음밥	밥을 다른 재료와 함께 넣고 기름에 볶아 만든 음식	5,000
514	Z056	군만두	얇은 만두피에 고기, 부추, 당면 등을 넣어 감싼 후 기름에 구워서 먹는 요리	2,000
515	Z056	양장피	양장피와 야채 등을 곁들여 겨자소스를 부어 섞어 먹는 중국요리	4,000
516	Z056	마라탕	혀가 저리게 매운 맛이 나는 탕 요리	6,500
517	Z056	유린기	기름을 뿌린 닭고기'라는 뜻이며, 양상추, 양파 따위 아삭한 식감을 가진 채소 위에 튀긴 닭고기를 얹은 뒤 청고추와 홍고추를 곁들인 간장 양념을 부어먹는 요리다	8,000
518	Z057	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
519	Z057	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
520	Z057	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
521	Z057	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
522	Z057	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
523	Z057	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
524	Z057	낫토	일본의 전통음식 중 하나	4,500
525	Z057	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
526	Z057	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
527	Z058	티본 스테이크	부드러운 안심과 풍미가 진한 등심을 함께 즐길 수 있는 피렌체 오리지널 스타일의 스테이크	18,000
528	Z058	양송이 스프	신선한 재료로 6시간 이상 끓여내는 홈메이드 수프	4,500
529	Z058	토마호크 스테이크	오직 황제만이 즐길 수 있었던 블랙 앵거스의 단1%의 부위 3cm 이상의 두께에서 뿜어져 나오는 압도적인 풍미가 가득한 예술적 스테이크	16,000
530	Z058	투움바 파스타	최고급 파마산 치즈와 새우, 양송이를 함께 볶아 깊고 진한 크림소스 파스타	9,000
531	Z058	부시맨 브레드	허니망고버터와 함께 먹는 갈색의 고소한 빵	2,500
532	Z058	오지치즈후라이	두툼한 감자튀김에 체다치즈, 잭치즈를 듬뿍 녹여 베이컨을 뿌린 메뉴	5,000
533	Z058	서로인 스테이크	무난무난한 스테이크	15,000
534	Z058	치킨 텐더 샐러드	부드럽고 고소한 닭 안심 튀김을 올린 샐러드	9,000
535	Z058	샐러드	베이컨, 파마산 치즈가 잘 어우려진 신선한 로메인에 부드러운 시저 드레싱을 결들인 샐러드	7,000
536	Z058	배이비백립	부드러운 돼지갈비에 특제 소스를 빌라 구워낸 바비규 요리	12,000
537	Z058	사이다	음료	1,500
538	Z059	마카롱	 마카롱 특유의 카사삭 부서지는 독특한 식감이 도드라지는 달콤한 디져트	1,500
539	Z059	티라미수	치즈, 크림, 커피, 코코아 파우더를 주재료로 사용하는 디저트	2,000
540	Z059	베이글	맛있는 베이글 빵에 크림치즈를 발라먹는 음식	1,500
541	Z059	바닐라 아이스크림	시원한 아이스크림에 바닐라맛이 추가된 아이스크림	2,000
542	Z059	초코 아이스크림	시원한 아이스크림에 초콜릿맛이 추가된 아이스크림	2,000
543	Z059	아포가토	바닐라 아이스크림 위에 커피를 타서 먹는 디저트	2,500
